Customer_name,Customer_country,Customer_type,Review_text,Review_date,Review_text_2,Review_text_3,language_Review_text,sentiment_Review_text,language_Review_text_2,sentiment_Review_text_2,language_Review_text_3,sentiment_Review_text_3,processed_text_Review_text,processed_text_Review_text_2,processed_text_Review_text_3,bad_food,bad_recreation,bad_room,bad_service,negative_review_count,Count Food,Count reacreation,Count room,count service
Denis,Russia,Solo traveler,Rätt trist atmosfär på hotellet. Stranden är ej badbar pga starka strömmar. Få bra restauranger i närheten och hotellets priser på mat och dryck är alldeles för höga. Kommer aldrig bo där igen och rekommenderar det inte.,10/13/2025,,,sv,negative,unknown,unknown,unknown,unknown,pretty sad atmosphere at the hotel. the beach is not bathable due to strong streams. get good restaurants nearby and the hotel's food and drink prices are far too high. will never stay there again and do not recommend it.,,,TRUE,TRUE,FALSE,FALSE,1,236,200,236,191
Kanishka,Sri Lanka,Family with teens,i did not stay at heritance ahungalla since you informed it was fully booked later and transferred me to hotel riu.,7/18/2025,,,en,negative,unknown,unknown,unknown,unknown,i did not stay at heritance ahungalla since you informed it was fully booked later and transferred me to hotel riu.,,,FALSE,FALSE,FALSE,FALSE,1,235,199,236,191
ruwani,from,India,I ordered my breakfast to the room which I didn't get .then they firmly apologized for not  giving me the breakfast.then asked me to have the lunch instead .then when I had the lunch asked me to pay for it .mind you I was allocated for a complimentary breakfast with the package I paid .,12/16/2025,,,en,negative,unknown,unknown,unknown,unknown,i ordered my breakfast to the room which i didn't get .then they firmly apologized for not  giving me the breakfast.then asked me to have the lunch instead .then when i had the lunch asked me to pay for it .mind you i was allocated for a complimentary breakfast with the package i paid .,,,TRUE,FALSE,TRUE,FALSE,1,235,199,236,191
Govinda,Family with teens,Stayed 1 night in December 2015,"Upon checking in, power for the room went off. Phone in the hotel room was also faulty. Cleanliness of the bathroom was not up to standard. Dinner buffet was limited in variety and lacking in taste.",12/15/2025,,,en,negative,unknown,unknown,unknown,unknown,"upon checking in, power for the room went off. phone in the hotel room was also faulty. cleanliness of the bathroom was not up to standard. dinner buffet was limited in variety and lacking in taste.",,,TRUE,FALSE,FALSE,FALSE,1,234,199,235,191
alison,Couple,Stayed 4 nights in December 2013,"We felt we could not relax whilst in the grounds, the local sellers both men and women, hid in the bushes of the hotel on the beach, waiting to get people's attention.  As soon as you stepped onto the beach, you were surrounded by them.  Also so much rubbish strewn about the perimeter.  Overall the hotel lacked any atmosphere, maybe it is too large for that?
The staff were all lovely and friendly.  For the money we both felt very let down, it is marked as a 5 star hotel but I would disagree with that.",12/13/2025,,,en,negative,unknown,unknown,unknown,unknown,"we felt we could not relax whilst in the grounds, the local sellers both men and women, hid in the bushes of the hotel on the beach, waiting to get people's attention.  as soon as you stepped onto the beach, you were surrounded by them.  also so much rubbish strewn about the perimeter.  overall the hotel lacked any atmosphere, maybe it is too large for that?
the staff were all lovely and friendly.  for the money we both felt very let down, it is marked as a 5 star hotel but i would disagree with that.",,,TRUE,TRUE,TRUE,TRUE,1,233,199,235,190
MINSOO,Couple,Deluxe Rooms,"호텔 연계 택시가 거북이 보호소까지 8000루피를 불러 픽미로 400루피에 택시를 불렀고 그
택시기사가 픽미기사를 쫒아냈습니다 호텔측에 항의했더니 그 기사를 특정해 해고하겠다며 이런 불미스러운 일이 생긴거에대한 진심어린 사과를 해주었습니다. 저희는 그렇게 까지 바라진 않고 두번다시 이런일이 생기지 않도록만 부탁했고 이러한 진심어린 대처 덕분에 호텔에 대한 이미지가 너무 행복했습니다 다음에 또 이지역을 방문한다면 여지없이 다시 이 호텔을 찾겠습니다",9/23/2025,,,ko,negative,unknown,unknown,unknown,unknown,"the hotel -linked taxi called 8000 rupees to the turtle shelter and called a taxi in 400 rupees with picmi.
the taxi driver has been a picmi article. he protested the hotel and gave me a sincere apology for this unpleasant thing. we did not want to do this again and did not happen again, and thanks to these sincere response, the image of the hotel was so happy that we would visit this hotel again if we visited the area again.",,,FALSE,FALSE,FALSE,FALSE,1,232,198,234,190
chen,Family with young children,Stayed 1 night in February 2014,临到出行前，酒店才通知说没有房间，给替换到另外一家酒店。对酒店这钟行为非常鄙视。抵达到酒店前台交涉期间，路线有外国团队来办理入住，个人觉得就是把我们预定的酒店让给了别人。酒店真的很美，环境不错，早晚餐也非常丰盛，对于这次没有住到这家酒店感觉很遗憾。,1/15/2025,,,zh-cn,negative,unknown,unknown,unknown,unknown,"before the trip, the hotel notified that there was no room and replaced it to another hotel. i despise the behavior of this hotel clock. during the negotiations at the hotel reception desk, a foreign team came to check in the route. i personally think that it was to give the hotel we booked to someone else. the hotel is really beautiful, the environment is good, and the morning and evening meals are also very rich. i feel sorry for not staying in this hotel this time.",,,FALSE,FALSE,TRUE,TRUE,1,232,198,234,189
Viran,United Kingdom,Group,"No bacon for bfast.repetition of food items on buffet.inedible cuts of meat on buffet,should have cooked in pressure cooker to tenderise the meat.we were told by the head chef only the good cuts are served at the a la carte restaurant not on the buffet.",2/25/2025,,,en,negative,unknown,unknown,unknown,unknown,"no bacon for bfast.repetition of food items on buffet.inedible cuts of meat on buffet,should have cooked in pressure cooker to tenderise the meat.we were told by the head chef only the good cuts are served at the a la carte restaurant not on the buffet.",,,FALSE,FALSE,FALSE,FALSE,1,232,198,233,189
sandeep,India,Family with young children,"Not at all a 5 star property by any stretch . Yes all basic amenities like pool, indoor game, bar etc are there but quality/cleanliness not thr. My son and wife also got food poisoning after eating brownie.",12/24/2025,,,en,negative,unknown,unknown,unknown,unknown,"not at all a 5 star property by any stretch . yes all basic amenities like pool, indoor game, bar etc are there but quality/cleanliness not thr. my son and wife also got food poisoning after eating brownie.",,,TRUE,FALSE,TRUE,FALSE,1,232,198,233,189
Parag,from,Slovenia,"Had a problem similar to the one we had at the other Heritance property at Kandalama, Check-in took 45 minutes as they could not find the reservation inspite of providing the voucher. Heritance needs to get their act together on this issue",10/16/2025,,,en,negative,unknown,unknown,unknown,unknown,"had a problem similar to the one we had at the other heritance property at kandalama, check-in took 45 minutes as they could not find the reservation inspite of providing the voucher. heritance needs to get their act together on this issue",,,FALSE,FALSE,TRUE,FALSE,1,231,198,232,189
Rainer,Stayed 3 nights in February 2015,from,Mediocre,2/15/2025,,,it,negative,unknown,unknown,unknown,unknown,mediocre,,,FALSE,FALSE,FALSE,FALSE,1,231,198,231,189
"Tzu-Lan,",Stayed 1 night in September 2012,from,"When I walked in the lobby, it was very crowede and noisy, I saw the swimming pool from lobby, it was as crowded as disneyland, I cannot believe this is a 5 star hotel. And the swimming pool was somehow under maintance, can see the view as saw on the website. No bath tub in the bathroom. My flight was 12 noon, so I had an early breakfast at 7:20am, the breakfast time started at 7am, but it was chaos when I walked in the restaurant, staff in the restaurant were chatting, laughing, there's no Professional at all!! I was sooo disappointed at Heritance Ahungalla hotel!!!",9/12/2025,,,en,negative,unknown,unknown,unknown,unknown,"when i walked in the lobby, it was very crowede and noisy, i saw the swimming pool from lobby, it was as crowded as disneyland, i cannot believe this is a 5 star hotel. and the swimming pool was somehow under maintance, can see the view as saw on the website. no bath tub in the bathroom. my flight was 12 noon, so i had an early breakfast at 7:20am, the breakfast time started at 7am, but it was chaos when i walked in the restaurant, staff in the restaurant were chatting, laughing, there's no professional at all!! i was sooo disappointed at heritance ahungalla hotel!!!",,,TRUE,TRUE,TRUE,TRUE,1,231,198,231,188
Wu,Stayed 2 nights in May 2011,from,"Never have we ever been into such as filthy, serivce-lacking beach resort.  The whole premises is a run-down.  The restaurants are not clean: sticky tables covered with juice stains; rotten salad, bread crumbs and fish bones seem to be part of the chairs and cushions.  Serving beverages with cracked cups/glasses which also have dead insects gluing to them.  The food is not well prepared neither fresh, including the seafood!  Annoyed to be served with stale seafood in a beach resot!  Hotel beach is decorated with trash, including broken bottles.  Guests pay 5-star-resort tariff while 1-star serive is provided.",5/11/2025,,,en,negative,unknown,unknown,unknown,unknown,"never have we ever been into such as filthy, serivce-lacking beach resort.  the whole premises is a run-down.  the restaurants are not clean: sticky tables covered with juice stains; rotten salad, bread crumbs and fish bones seem to be part of the chairs and cushions.  serving beverages with cracked cups/glasses which also have dead insects gluing to them.  the food is not well prepared neither fresh, including the seafood!  annoyed to be served with stale seafood in a beach resot!  hotel beach is decorated with trash, including broken bottles.  guests pay 5-star-resort tariff while 1-star serive is provided.",,,TRUE,TRUE,TRUE,FALSE,1,230,197,230,188
M,Solo traveler,Luxury Rooms,"バワ建築好きなので、ゆっくりしたいと3泊しました。部屋も素敵だったし、ご飯も美味しかったし、ビーチも目の前で、滞在自体は満足のいくものでした。
しかし、それを台無しにする残念なことがありました。
１つは、滞在が週末だったため、とにかくうるさかった事。隣の部屋では、若い男女が10人以上で、爆音の音楽かけたり、バルコニーで騒いだりしていて、注意してもらってもまた騒ぐという感じでした。プールも若者のグループや家族連れで騒がしいので、ゆっくり過ごしたい人は、週末は避けた方がいいと思います。
あと、支払を現地払いにしていたのですが、チェックイン時に請求された金額と、Agodaで予約した時の金額が異なったので、チェックアウト時に確認したのですが、係りの人は「間違いありません」の一点張りでした。急いでいたのもあり、あとはAgodaに間に入ってもらって、話をしてもらいますと伝えて、ホテルを出ようとしたら、他のスタッフが調べるので時間をくれと言って来ました。結局、ホテル側のミスであることが判明しましたが、予約管理も出来てないのかな？と、気分が悪いままホテルを後にしました。
現地払いのプランで予約する場合、支払時に確認を忘れないようにして下さい。",8/24/2025,,,ja,negative,unknown,unknown,unknown,unknown,"i love bawa architecture, so i stayed for 3 nights to relax. the room was lovely, the food was delicious, the beach was right in front of us, so the stay was satisfying.
but there was something unfortunate that ruined it.
first, it was so noisy because i stayed on weekends. in the next room there were more than 10 young men and women playing loud music and making noises on the balcony, and even after being warned, they made another fuss. the pool is also noisy with young people groups and families, so if you want to spend your time relaxing, it's best to avoid it on weekends.
also, i had paid on-site, but the amount charged at check-in was different from the amount i booked at agoda, so i checked it when i checked out, but the staff member was saying ""there's no doubt about it."" i was in a hurry, so i told agoda that i would come in and talk to him, and when i was about to leave the hotel, the other staff asked me to give me some time to check on it. in the end, it turned out to be a mistake on the hotel, but perhaps they can't manage their reservations either. i left the hotel feeling unwell.
if you are making a reservation with a local payment plan, please do not forget to confirm when you pay.",,,FALSE,TRUE,FALSE,TRUE,1,229,196,229,187
Kyung,Solo traveler,Stayed 2 nights in December 2014,갈레와 1시간 거리로 너무 멈. 호텔 주위에 아무것도 없음.,12/14/2025,,,ko,negative,unknown,unknown,unknown,unknown,too much from galle to an hour away. nothing around the hotel.,,,TRUE,FALSE,FALSE,FALSE,1,229,195,229,187
Janaka,Sri Lanka,Family with teens,Too much building work going around where I was staying noisy everything was average,8/24/2025,,,en,negative,unknown,unknown,unknown,unknown,too much building work going around where i was staying noisy everything was average,,,FALSE,FALSE,TRUE,FALSE,1,228,195,229,187
K,Sri Lanka,Family with young children,"Less Buffet.
Not match with 5 star grade hotel",5/24/2025,,,en,negative,unknown,unknown,unknown,unknown,"less buffet.
not match with 5 star grade hotel",,,TRUE,FALSE,FALSE,FALSE,1,228,195,228,187
Lisa,Family with young children,Premium Rooms,A disappointing stay.  Crowded with run down facilities.  Food was ordinary and hotel security did not do enough to keep tuk-tuk drivers and sarong vendors from the hotel grounds where they regularly hassled guests.,10/19/2025,,,en,negative,unknown,unknown,unknown,unknown,a disappointing stay.  crowded with run down facilities.  food was ordinary and hotel security did not do enough to keep tuk-tuk drivers and sarong vendors from the hotel grounds where they regularly hassled guests.,,,TRUE,TRUE,TRUE,FALSE,1,227,195,228,187
Omar,from,India,"We had a pleasant stay at the hotel. The staff were helpful at the checkin. We informed them we were vegetarian and they told us they would inform the cook to have some veg menu.  But when we went for dinner we were informed that there is nothing vegetarian and it was Barbeque night.  We were asked to go to the coffee shop, over there we were told they would prepare something veg and would take 45 minutes.  But what we were served was inedible even our dog back home wouldn't eat it. Over all the hotel was great but we had a bad time with food.  The breakfast was good. But rest of the time we had to go to taj Bentota for food. Wouldn't recommend the hotel to vegetarians",6/15/2025,,,en,negative,unknown,unknown,unknown,unknown,"we had a pleasant stay at the hotel. the staff were helpful at the checkin. we informed them we were vegetarian and they told us they would inform the cook to have some veg menu.  but when we went for dinner we were informed that there is nothing vegetarian and it was barbeque night.  we were asked to go to the coffee shop, over there we were told they would prepare something veg and would take 45 minutes.  but what we were served was inedible even our dog back home wouldn't eat it. over all the hotel was great but we had a bad time with food.  the breakfast was good. but rest of the time we had to go to taj bentota for food. wouldn't recommend the hotel to vegetarians",,,FALSE,FALSE,FALSE,FALSE,1,226,194,227,187
Carl,from,Australia,We were loking forward to staying at this hotel on the coast as we were not travelling to the Maldives.  However we were dissapointed with the service and food during our stay. The only savibg grace was being upgraded and the room we got was fantastic. The hotel is set in a great location but if you do not  like being hasseled on the so called private beach then this hotel is not for you. There were many locals on the beach trying to sell guests goods in full view of the scurity guards. However the security guards did not stop this from happening and we will not be returning to this hotel.,11/12/2025,,,en,negative,unknown,unknown,unknown,unknown,we were loking forward to staying at this hotel on the coast as we were not travelling to the maldives.  however we were dissapointed with the service and food during our stay. the only savibg grace was being upgraded and the room we got was fantastic. the hotel is set in a great location but if you do not  like being hasseled on the so called private beach then this hotel is not for you. there were many locals on the beach trying to sell guests goods in full view of the scurity guards. however the security guards did not stop this from happening and we will not be returning to this hotel.,,,TRUE,FALSE,FALSE,TRUE,1,226,194,227,186
HIROMI,Couple,"Deluxe Twin Room - 15% Discount on Beverages, 10% on Buffet meals | Free Room Upgrades upon availability | Early Check in & Late Checkout upon availability | Valid until 31st March 2025","When we told them in advance that it was our wedding anniversary trip, they upgraded our room at no extra charge.",9/24/2025,,,en,negative,unknown,unknown,unknown,unknown,"when we told them in advance that it was our wedding anniversary trip, they upgraded our room at no extra charge.",,,FALSE,FALSE,FALSE,FALSE,1,225,194,227,186
MINORU,Japan,Couple,"バワ建築ということで止まりましたが
いたって普通でした。",8/19/2025,,,ja,negative,unknown,unknown,unknown,unknown,"it stopped because it was a bawa building
it was quite normal.",,,FALSE,FALSE,FALSE,FALSE,1,225,194,227,186
chen,from,China,性价比不高，3人含早206美刀，有些不错的130美刀搞掂。服务员无表情，估计累了。,9/15/2025,,,zh-cn,negative,unknown,unknown,unknown,unknown,"the cost-effectiveness is not high. three people include breakfast, $206, and some good ones cost 130. the waiter was expressionless and probably tired.",,,FALSE,FALSE,FALSE,FALSE,1,225,194,227,186
Olga,Deluxe Rooms,Stayed 3 nights in November 2017,"Отель достаточно старый и скучный. В море  у отеля купаться нельзя, очень сильные течения и огромные волны. Всю ночь стоит грохот от волн, разбивающихся о камни. Совершенно не дружелюбный персонал. В ресторане и барах не дождёшься даже воды! Мы брали «все включено», но отношение к нам было такое как будто мы бесплатно здесь проживаем... 
Номер хороший, чистый, но обслуживание и еда в ресторане все портит. Есть мало что можно, не вкусно, не дожарено, испорчено... 
это наше с мужем мнение, решать вам, но мы сюда не вернёмся",11/17/2025,,,ru,negative,unknown,unknown,unknown,unknown,"the hotel is quite old and boring. you can’t swim at sea at the hotel, very strong currents and huge waves. all night there is a roar from the waves crashing against stones. absolutely not friendly staff. in a restaurant and bars you will not wait even water! we took “all inclusive”, but the attitude towards us was as if we were living here for free ... 
the number is good, clean, but service and food in the restaurant spoils everything. there is little one can, not tasty, not frenzied, spoiled ... 
this is our opinion with my husband, you decide, but we will not return here",,,TRUE,FALSE,FALSE,TRUE,1,225,194,227,185
Nafees,Deluxe Rooms,Stayed 1 night in December 2019,When I went to check in they didn’t have the booking that I made through Agoda six hours ago. I had to wait for almost an hour before they could give me the keys to check in.,12/19/2025,,,en,negative,unknown,unknown,unknown,unknown,when i went to check in they didn’t have the booking that i made through agoda six hours ago. i had to wait for almost an hour before they could give me the keys to check in.,,,FALSE,FALSE,FALSE,FALSE,1,224,194,227,185
Sheron,,,Bathroom was not clean at all. Muddy footsteps were on the floor and glasses were dirty not cleaned for a long time,6/16/2025,,,en,negative,unknown,unknown,unknown,unknown,bathroom was not clean at all. muddy footsteps were on the floor and glasses were dirty not cleaned for a long time,,,FALSE,FALSE,TRUE,FALSE,1,224,194,227,185
Lennart,,,"The building and the smiling staff builds up a expectation. The logistics are a mess. Takes to long time for small things. Its a general gender problem in Sri Lanka. The female capacity is not taken seriously. I´l think its not important what i say to you in this letter. Whats matter is what I sy on next dinner whit friends home in my country when they ask; ""How was Sri Lanka? My answer is, They are spoiling an opportunity to beat Thailand because of bad management. Whish you good luck",1/16/2025,,,en,negative,unknown,unknown,unknown,unknown,"the building and the smiling staff builds up a expectation. the logistics are a mess. takes to long time for small things. its a general gender problem in sri lanka. the female capacity is not taken seriously. i´l think its not important what i say to you in this letter. whats matter is what i sy on next dinner whit friends home in my country when they ask; ""how was sri lanka? my answer is, they are spoiling an opportunity to beat thailand because of bad management. whish you good luck",,,FALSE,FALSE,FALSE,FALSE,1,224,194,226,185
SUMIKO,Solo traveler,Deluxe Twin,着いた瞬間、バワ設計のプールはとても美しい。だがチェックインするのに長い時間待たされ、何かと思えば「ウェルカムドリンクが来ますのでお待ちください」って。本末転倒でしょう。たのんでないし。部屋に飲み物用意すればよいこと。総じてスタッフの教育がもう少し必要と感じました。,2/24/2025,,,ja,negative,unknown,unknown,unknown,unknown,"the moment we arrived, the bawa designed pool was very beautiful. however, i had to wait a long time to check in, and when i thought about it, i was like, ""we'll receive a welcome drink, so please wait."" it would be counterproductive. i'm not happy. you should prepare drinks in the room. overall, i felt that there was a little more training for the staff.",,,TRUE,TRUE,FALSE,TRUE,1,224,194,226,184
Shahzad,Pakistan,Family,Excellent value for money and a beautiful property with a wonderful staff.,7/23/2025,"The room was just beauuuuuuuuutifullllllllllll! the design and finish is so amazing. Such a nice color palette for the room we absolutely loved it. The staff is soooooooo warm and welcoming. The initial welcome felt like we were royalty. They handed us some local sweets followed by wet towels and welcome drinks. The staff engaged with us with a lot of warmth.
The value for money is excellent. The breakfast lay out is beautiful with good taste and a huge variety. The resort design is amazing with a lot of local and Dutch design elements. The pools were warm and felt just right. 
Overall we really really enjoyed our stay there.",Nothing!,en,positive,en,positive,en,negative,excellent value for money and a beautiful property with a wonderful staff.,"the room was just beauuuuuuuuutifullllllllllll! the design and finish is so amazing. such a nice color palette for the room we absolutely loved it. the staff is soooooooo warm and welcoming. the initial welcome felt like we were royalty. they handed us some local sweets followed by wet towels and welcome drinks. the staff engaged with us with a lot of warmth.
the value for money is excellent. the breakfast lay out is beautiful with good taste and a huge variety. the resort design is amazing with a lot of local and dutch design elements. the pools were warm and felt just right. 
overall we really really enjoyed our stay there.",nothing!,FALSE,FALSE,FALSE,FALSE,1,223,193,226,184
Emma,United Kingdom,Family,All inclusive stay is recommended. Beautiful location,11/24/2025,"Amazing location
 Great facilites 
All inclusive is very good value for money 
Staff friendly and hospitable","Hotel in need of renovation which is currently being undertaken.
Staff in the restaurant were not attentive enough in my opinion. 
One evening we had to ask for drinks 3 times.",en,positive,en,positive,en,negative,all inclusive stay is recommended. beautiful location,"amazing location
 great facilites 
all inclusive is very good value for money 
staff friendly and hospitable","hotel in need of renovation which is currently being undertaken.
staff in the restaurant were not attentive enough in my opinion. 
one evening we had to ask for drinks 3 times.",TRUE,FALSE,FALSE,TRUE,1,223,193,226,183
Jothi,United States,Group,Food was excellent ( catering to different palates ),7/24/2025,"Spectacular view , Designed by Geoffrey Bava  son of SriLanka and  a well known architect in Asia … his finger prints are there every where ..",Not much really - cooling ( A/C) could have been cooler  the 22*c - had central air and we were told it didn’t permit it ..,en,positive,en,positive,en,negative,food was excellent ( catering to different palates ),"spectacular view , designed by geoffrey bava  son of srilanka and  a well known architect in asia … his finger prints are there every where ..",not much really - cooling ( a/c) could have been cooler  the 22*c - had central air and we were told it didn’t permit it ..,FALSE,FALSE,FALSE,FALSE,1,222,193,226,183
