text,action,category
The menu options are very limited and boring.,Revise Menu Quality,Food
"Honestly, lobby is chaotic and disorganized.",Review Check-in Process,Services
"Honestly, scum line around the edge of the pool.",Pool Maintenance,Recreation
Not happy. Asked for no onions but got onions anyway.,Staff Training (Food),Food
Feedback: The bill included a service charge that was not mentioned.,Compensate Guest,Food
Not happy. Flies buzzing around the room constantly.,Pest Control Investigation,Rooms
"Honestly, staff was arguing loudly in the hallway.",Disciplinary Action,Services
not enough vegetarian or vegan options.,Revise Menu Quality,Food
Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
Feedback: The concierge made a rude comment about my appearance.,Disciplinary Action,Services
The sheets had spots and didn't look fresh.,Deep Clean & Maintenance,Rooms
Feedback: There was a spider on the pillow.,Pest Control Investigation,Rooms
Not happy. Pool shower wasn't working.,Pool Maintenance,Recreation
"Honestly, they refused to accept my voucher.",Compensate Guest,Food
I want a refund for this terrible meal. Terrible.,Compensate Guest,Food
The bill included a service charge that was not mentioned.,Compensate Guest,Food
Action needed: Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms
Action needed: The pool water was cloudy and green.,Pool Maintenance,Recreation
staff seemed confused by the check-in software.,Review Check-in Process,Services
Review: Housekeeper stole money from my wallet.,Disciplinary Action,Services
Action needed: Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
Conflicting information from different staff members.,Staff Communication Training,Services
Debris and leaves floating in the water. Terrible.,Pool Maintenance,Recreation
Feedback: They didn't tell us the pool was under maintenance.,Staff Communication Training,Services
System crashed during check-in.,Review Check-in Process,Services
"Honestly, lobby is chaotic and disorganized.",Review Check-in Process,Services
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms
entertainment team was low energy and boring.,Recreation Staff Review,Recreation
Review: The plates were dirty and had leftover food stains.,Inspect Kitchen Hygiene,Food
Not happy. Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
The presentation of the dishes was poor. Terrible.,Revise Menu Quality,Food
"Staff speaks very poor English, hard to communicate. Terrible.",Staff Communication Training,Services
Not happy. Treadmills were all out of order.,Update Gym Equipment,Recreation
"Honestly, it took 45 minutes just to check in.",Review Check-in Process,Services
Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
Employee was on their phone ignoring guests. Terrible.,Disciplinary Action,Services
Action needed: Treadmills were all out of order.,Update Gym Equipment,Recreation
Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
"Honestly, treadmills were all out of order.",Update Gym Equipment,Recreation
"Honestly, pool ladders are loose and dangerous.",Pool Maintenance,Recreation
Not happy. Staff member laughed at my complaint.,Disciplinary Action,Services
Not happy. They refused to accept my voucher.,Compensate Guest,Food
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms
Review: Staff member laughed at my complaint.,Disciplinary Action,Services
Action needed: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
"Honestly, they charged us for items we didn't order.",Compensate Guest,Food
Feedback: Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms
Feedback: Bartender was visibly drunk.,Disciplinary Action,Services
Action needed: I think I saw a mouse behind the curtain.,Pest Control Investigation,Rooms
"Honestly, asked for no onions but got onions anyway.",Staff Training (Food),Food
Unprofessional behavior from the night manager. Terrible.,Disciplinary Action,Services
Pool shower wasn't working. Terrible.,Pool Maintenance,Recreation
The room smelled like stale cigarette smoke. Terrible.,Deep Clean & Maintenance,Rooms
Feedback: The server was rude when I asked for water.,Staff Training (Food),Food
Feedback: Valet scratched my car and denied it.,Disciplinary Action,Services
Not happy. The room is infested with insects.,Pest Control Investigation,Rooms
They didn't tell us the pool was under maintenance. Terrible.,Staff Communication Training,Services
"Not happy. Too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
The food tasted slightly spoiled and smelled bad. Terrible.,Inspect Kitchen Hygiene,Food
"The gym smells like sweat, no ventilation. Terrible.",Update Gym Equipment,Recreation
Action needed: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
Not happy. Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Action needed: Not enough vegetarian or vegan options.,Revise Menu Quality,Food
"Honestly, the plates were dirty and had leftover food stains.",Inspect Kitchen Hygiene,Food
"Honestly, the room smelled like stale cigarette smoke.",Deep Clean & Maintenance,Rooms
Feedback: Scum line around the edge of the pool.,Pool Maintenance,Recreation
"Honestly, they refused to accept my voucher.",Compensate Guest,Food
Action needed: They demanded a cash deposit unexpectedly.,Review Check-in Process,Services
Feedback: Pool attendant refused to give me a towel.,Recreation Staff Review,Recreation
Not happy. The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
Feedback: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
The hairdryer provided is useless and overheating.,Upgrade Room Amenities,Rooms
Action needed: They demanded a cash deposit unexpectedly.,Review Check-in Process,Services
Cockroach in the shower.,Pest Control Investigation,Rooms
Not happy. No one came to clear our table for 30 minutes.,Staff Training (Food),Food
Feedback: The server was rude when I asked for water.,Staff Training (Food),Food
Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Review: Asked for no onions but got onions anyway.,Staff Training (Food),Food
they refused to accept my voucher.,Compensate Guest,Food
Review: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
"Honestly, unprofessional behavior from the night manager.",Disciplinary Action,Services
Cockroach in the shower. Terrible.,Pest Control Investigation,Rooms
Review: The pasta was overcooked and mushy.,Revise Menu Quality,Food
Review: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
"Honestly, the gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
"Honestly, tennis coach didn't show up for the lesson.",Recreation Staff Review,Recreation
Feedback: Lobby is chaotic and disorganized.,Review Check-in Process,Services
Not happy. The toilet wasn't flushed when we arrived.,Deep Clean & Maintenance,Rooms
Action needed: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
Scum line around the edge of the pool.,Pool Maintenance,Recreation
bellboy didn't explain how to use the key card.,Staff Communication Training,Services
Not happy. Kids club staff seemed bored and inattentive.,Recreation Staff Review,Recreation
Review: The bill included a service charge that was not mentioned.,Compensate Guest,Food
"Action needed: The gym smells like sweat, no ventilation.",Update Gym Equipment,Recreation
Not happy. The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
Action needed: The TV is tiny and has no channels.,Upgrade Room Amenities,Rooms
"Honestly, they didn't tell us the pool was under maintenance.",Staff Communication Training,Services
Feedback: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
Review: The presentation of the dishes was poor.,Revise Menu Quality,Food
"Honestly, lifeguard was on their phone the whole time.",Recreation Staff Review,Recreation
Pool shower wasn't working.,Pool Maintenance,Recreation
The steak was tough and flavorless.,Revise Menu Quality,Food
It took 45 minutes just to check in.,Review Check-in Process,Services
they refused to accept my voucher.,Compensate Guest,Food
"Honestly, the salad was wilted and brown.",Inspect Kitchen Hygiene,Food
Not happy. Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
Not happy. Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
Minibar was empty and not working.,Upgrade Room Amenities,Rooms
mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
Action needed: Housekeeper stole money from my wallet.,Disciplinary Action,Services
Action needed: Priority check-in for members was not honored.,Review Check-in Process,Services
Action needed: They refused to accept my voucher.,Compensate Guest,Food
the coffee was burnt and bitter.,Revise Menu Quality,Food
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
Action needed: Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
debris and leaves floating in the water.,Pool Maintenance,Recreation
Not happy. Valet scratched my car and denied it.,Disciplinary Action,Services
"Honestly, the toilet wasn't flushed when we arrived.",Deep Clean & Maintenance,Rooms
"Honestly, seasonal dishes listed on the menu were not available.",Revise Menu Quality,Food
I found a hair in my food. Terrible.,Inspect Kitchen Hygiene,Food
Priority check-in for members was not honored.,Review Check-in Process,Services
Spa therapist was chatting during the massage. Terrible.,Recreation Staff Review,Recreation
They didn't tell us the pool was under maintenance. Terrible.,Staff Communication Training,Services
Feedback: The carpet was stained and smelled of mold.,Deep Clean & Maintenance,Rooms
Tennis coach didn't show up for the lesson. Terrible.,Recreation Staff Review,Recreation
Feedback: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
The plates were dirty and had leftover food stains. Terrible.,Inspect Kitchen Hygiene,Food
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
Scum line around the edge of the pool. Terrible.,Pool Maintenance,Recreation
Priority check-in for members was not honored.,Review Check-in Process,Services
Lizard on the ceiling.,Pest Control Investigation,Rooms
Not happy. Everything tastes like frozen food reheated.,Revise Menu Quality,Food
"staff speaks very poor english, hard to communicate.",Staff Communication Training,Services
Not happy. Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
"Action needed: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Review: They refused to accept my voucher.,Compensate Guest,Food
Review: Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
Review: Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
Bike seat is broken.,Update Gym Equipment,Recreation
Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
"Honestly, too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
Feedback: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
Action needed: Staff seemed confused by the check-in software.,Review Check-in Process,Services
Feedback: They charged us for items we didn't order.,Compensate Guest,Food
they didn't tell us the pool was under maintenance.,Staff Communication Training,Services
"Honestly, priority check-in for members was not honored.",Review Check-in Process,Services
not enough weights for a proper workout.,Update Gym Equipment,Recreation
Waiters were ignoring us and chatting among themselves.,Staff Training (Food),Food
Not happy. No iron or ironing board in the room.,Upgrade Room Amenities,Rooms
"need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Review: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
Action needed: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Not happy. Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Feedback: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
"Honestly, bed bugs bit me all over my legs.",Pest Control Investigation,Rooms
food was cold when it arrived at the table.,Revise Menu Quality,Food
Not happy. Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
no water or towels available in the gym.,Update Gym Equipment,Recreation
Not happy. Spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
Feedback: The pasta was overcooked and mushy.,Revise Menu Quality,Food
Review: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
Review: Bartender was visibly drunk.,Disciplinary Action,Services
water looked stagnant and dirty.,Pool Maintenance,Recreation
Action needed: Valet scratched my car and denied it.,Disciplinary Action,Services
Gym is too small for the number of guests. Terrible.,Update Gym Equipment,Recreation
Feedback: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
Curtains were dusty and triggered my allergies. Terrible.,Deep Clean & Maintenance,Rooms
elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
Not happy. The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
Review: Minibar was empty and not working.,Upgrade Room Amenities,Rooms
Feedback: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food
Priority check-in for members was not honored.,Review Check-in Process,Services
Not happy. The presentation of the dishes was poor.,Revise Menu Quality,Food
"Honestly, entertainment team was low energy and boring.",Recreation Staff Review,Recreation
"Honestly, windows were dirty and hard to see through.",Deep Clean & Maintenance,Rooms
Review: The bathroom tiles had mold in the grout.,Deep Clean & Maintenance,Rooms
Feedback: The room smelled like stale cigarette smoke.,Deep Clean & Maintenance,Rooms
Not happy. Misunderstanding about the room rate caused issues.,Staff Communication Training,Services
Review: Minibar was empty and not working.,Upgrade Room Amenities,Rooms
Beach staff demanded tips for chairs. Terrible.,Recreation Staff Review,Recreation
The furniture is worn out and chipped.,Upgrade Room Amenities,Rooms
Not happy. Not enough vegetarian or vegan options.,Revise Menu Quality,Food
Review: Saw a cockroach near the kitchen entrance.,Inspect Kitchen Hygiene,Food
The coffee was burnt and bitter. Terrible.,Revise Menu Quality,Food
"too much chlorine in the pool, burned my eyes.",Pool Maintenance,Recreation
Restaurant manager was shouting at the staff.,Staff Training (Food),Food
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
Not happy. WiFi signal is too weak to work in the room.,Upgrade Room Amenities,Rooms
Lifeguard was on their phone the whole time.,Recreation Staff Review,Recreation
No one told us about the construction noise.,Staff Communication Training,Services
Feedback: Staff member was smoking right outside the lobby door.,Disciplinary Action,Services
valet scratched my car and denied it.,Disciplinary Action,Services
"Honestly, concierge was unable to give simple directions.",Staff Communication Training,Services
Feedback: Front desk staff gave us wrong information about breakfast.,Staff Communication Training,Services
Conflicting information from different staff members.,Staff Communication Training,Services
Feedback: Dead bugs on the windowsill.,Deep Clean & Maintenance,Rooms
Review: They couldn't find my booking in the system.,Review Check-in Process,Services
Action needed: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
Feedback: The hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Not happy. Valet scratched my car and denied it.,Disciplinary Action,Services
Review: Bartender was visibly drunk.,Disciplinary Action,Services
water looked stagnant and dirty.,Pool Maintenance,Recreation
Feedback: Elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
Not happy. Debris and leaves floating in the water.,Pool Maintenance,Recreation
Feedback:  Filtration system was making a loud noise.,Pool Maintenance,Recreation
Feedback: Asked for no onions but got onions anyway.,Staff Training (Food),Food
Feedback: Curtains were dusty and triggered my allergies.,Deep Clean & Maintenance,Rooms
Not happy. I found a hair in my food.,Inspect Kitchen Hygiene,Food
"Not happy. Worst dining experience ever, I expect compensation.",Compensate Guest,Food
System crashed during check-in.,Review Check-in Process,Services
Feedback: Staff member laughed at my complaint.,Disciplinary Action,Services
"Honestly, pool was freezing cold, heater broken.",Pool Maintenance,Recreation
Flies buzzing around the room constantly. Terrible.,Pest Control Investigation,Rooms
air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms
Not happy. Pool shower wasn't working.,Pool Maintenance,Recreation
Feedback: Priority check-in for members was not honored.,Review Check-in Process,Services
Review: Cable machine is stuck and dangerous.,Update Gym Equipment,Recreation
Feedback: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
Feedback: Asked for no onions but got onions anyway.,Staff Training (Food),Food
Not happy. No one came to clear our table for 30 minutes.,Staff Training (Food),Food
"Honestly, gym is too small for the number of guests.",Update Gym Equipment,Recreation
Action needed: Everything tastes like frozen food reheated.,Revise Menu Quality,Food
Action needed: Food was cold when it arrived at the table.,Revise Menu Quality,Food
I found a hair in my food. Terrible.,Inspect Kitchen Hygiene,Food
They couldn't find my booking in the system.,Review Check-in Process,Services
No one told us about the construction noise.,Staff Communication Training,Services
Feedback: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
Feedback: No one told us about the construction noise.,Staff Communication Training,Services
Not happy. The pillows are lumpy and uncomfortable.,Upgrade Room Amenities,Rooms
"Honestly, the steak was tough and flavorless.",Revise Menu Quality,Food
valet scratched my car and denied it.,Disciplinary Action,Services
Feedback: Saw ants marching across the bathroom sink.,Pest Control Investigation,Rooms
Not happy. Lizard on the ceiling.,Pest Control Investigation,Rooms
Action needed: Tiles around the pool are broken and sharp.,Pool Maintenance,Recreation
Review: Bartender was visibly drunk.,Disciplinary Action,Services
Action needed: Unprofessional behavior from the night manager.,Disciplinary Action,Services
"Action needed: Towels are thin, scratchy, and old.",Upgrade Room Amenities,Rooms
Action needed: Not enough vegetarian or vegan options.,Revise Menu Quality,Food
"Honestly, scum line around the edge of the pool.",Pool Maintenance,Recreation
Staff got my order wrong three times. Terrible.,Staff Training (Food),Food
Minibar was empty and not working. Terrible.,Upgrade Room Amenities,Rooms
elliptical machine makes a squeaking sound.,Update Gym Equipment,Recreation
The server was rude when I asked for water. Terrible.,Staff Training (Food),Food
the server was rude when i asked for water.,Staff Training (Food),Food
Feedback: Water looked stagnant and dirty.,Pool Maintenance,Recreation
Review: System crashed during check-in.,Review Check-in Process,Services
Not happy. Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
Feedback: Concierge was unable to give simple directions.,Staff Communication Training,Services
Action needed: Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Action needed: Pool shower wasn't working.,Pool Maintenance,Recreation
Review: Found trash from previous guests in the drawer.,Deep Clean & Maintenance,Rooms
"Honestly, they demanded a cash deposit unexpectedly.",Review Check-in Process,Services
Bartender was visibly drunk.,Disciplinary Action,Services
Review: The concierge made a rude comment about my appearance.,Disciplinary Action,Services
the hostess was welcoming but the servers were grumpy.,Staff Training (Food),Food
Feedback: Concierge was unable to give simple directions.,Staff Communication Training,Services
The salad was wilted and brown. Terrible.,Inspect Kitchen Hygiene,Food
Review: The server was rude when I asked for water.,Staff Training (Food),Food
Water looked stagnant and dirty.,Pool Maintenance,Recreation
Not happy. Staff got my order wrong three times.,Staff Training (Food),Food
the steak was tough and flavorless.,Revise Menu Quality,Food
"Honestly, the room is infested with insects.",Pest Control Investigation,Rooms
"Dust everywhere, especially under the bed. Terrible.",Deep Clean & Maintenance,Rooms
they lost our reservation even though we booked weeks ago.,Compensate Guest,Food
"Honestly, gym equipment is ancient and rusty.",Update Gym Equipment,Recreation
Glass had lipstick marks on it. Terrible.,Inspect Kitchen Hygiene,Food
Not happy. Service in the restaurant was incredibly slow.,Staff Training (Food),Food
Feedback: They demanded a cash deposit unexpectedly.,Review Check-in Process,Services
"Honestly, staff member was smoking right outside the lobby door.",Disciplinary Action,Services
Review: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
"Honestly, worst dining experience ever, i expect compensation.",Compensate Guest,Food
Not happy. Bartender was visibly drunk.,Disciplinary Action,Services
Review: Our anniversary dinner was ruined by the terrible service.,Compensate Guest,Food
Action needed: Valet scratched my car and denied it.,Disciplinary Action,Services
"Honestly, they lost our reservation even though we booked weeks ago.",Compensate Guest,Food
Review: We were promised a complimentary drink but never got it.,Compensate Guest,Food
Not happy. The presentation of the dishes was poor.,Revise Menu Quality,Food
Review: Glass had lipstick marks on it.,Inspect Kitchen Hygiene,Food
Review: Yoga mats are torn and dirty.,Update Gym Equipment,Recreation
"Honestly, need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
"Action needed: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms
Pool shower wasn't working. Terrible.,Pool Maintenance,Recreation
restaurant manager was shouting at the staff.,Staff Training (Food),Food
Feedback: The room is infested with insects.,Pest Control Investigation,Rooms
Review: Windows were dirty and hard to see through.,Deep Clean & Maintenance,Rooms
they didn't tell us the pool was under maintenance.,Staff Communication Training,Services
priority check-in for members was not honored.,Review Check-in Process,Services
Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
Action needed: Check-in line was huge and only one counter open.,Review Check-in Process,Services
Waiters were ignoring us and chatting among themselves. Terrible.,Staff Training (Food),Food
Review: Not enough vegetarian or vegan options.,Revise Menu Quality,Food
Feedback: Not enough weights for a proper workout.,Update Gym Equipment,Recreation
"Review: Staff speaks very poor English, hard to communicate.",Staff Communication Training,Services
"Action needed: We waited 2 hours for our food, this is unacceptable.",Compensate Guest,Food
Not happy. They demanded a cash deposit unexpectedly.,Review Check-in Process,Services
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation
The coffee was burnt and bitter.,Revise Menu Quality,Food
Feedback: Lizard on the ceiling.,Pest Control Investigation,Rooms
Action needed: We were promised a complimentary drink but never got it.,Compensate Guest,Food
Action needed: There was a strange object in the soup.,Inspect Kitchen Hygiene,Food
Action needed: Staff didn't know the ingredients of the dishes.,Staff Training (Food),Food
Action needed: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services
Review: Charged 5 stars price for 1 star food.,Compensate Guest,Food
Mosquitoes in the room kept me up all night.,Pest Control Investigation,Rooms
"Honestly, they refused to accept my voucher.",Compensate Guest,Food
Gym is too small for the number of guests. Terrible.,Update Gym Equipment,Recreation
Restaurant manager was shouting at the staff.,Staff Training (Food),Food
"Honestly, gym equipment is ancient and rusty.",Update Gym Equipment,Recreation
Feedback: The room is infested with insects.,Pest Control Investigation,Rooms
Feedback: Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Review: The salad was wilted and brown.,Inspect Kitchen Hygiene,Food
Feedback: System crashed during check-in.,Review Check-in Process,Services
spa therapist was chatting during the massage.,Recreation Staff Review,Recreation
Action needed: The pool water was cloudy and green.,Pool Maintenance,Recreation
there was a spider on the pillow.,Pest Control Investigation,Rooms
Review: Evidence of termites in the wooden furniture.,Pest Control Investigation,Rooms
Action needed: The menu options are very limited and boring.,Revise Menu Quality,Food
Pool ladders are loose and dangerous.,Pool Maintenance,Recreation
Action needed: Staff got my order wrong three times.,Staff Training (Food),Food
Concierge was unable to give simple directions. Terrible.,Staff Communication Training,Services
Feedback: Staff member laughed at my complaint.,Disciplinary Action,Services
Not happy. Beach staff demanded tips for chairs.,Recreation Staff Review,Recreation
Tennis coach didn't show up for the lesson.,Recreation Staff Review,Recreation
Review: Food was cold when it arrived at the table.,Revise Menu Quality,Food
Not happy. Called reception but no one answered the phone.,Staff Communication Training,Services
Review: The menu options are very limited and boring.,Revise Menu Quality,Food
Review: Unprofessional behavior from the night manager.,Disciplinary Action,Services
Not happy. The waiter spilled soup on me and didn't apologize.,Staff Training (Food),Food
