text,sentiment
"Pros- Relaxed beach location with spacious rooms. Good choice of bars and restaurants. Excellent breakfast buffet. Friendly staff, especially in the restaurants and around the pool. Very nice, big pools. Lots of interesting wildlife. Laundry service was excellent and good value. Cons- There were some hawkers on the property around the pool area selling sarongs and tours. An annoyance when trying to relax. The air con in our room was not very effective. By contrast it was excellent in our kids room. There was black mold in the shower. When it rains, the communal corridors are prone to flooding. The room attendants are very pushy about tips. Our attendant Ranil visited our room a day before we left to tell us he wouldn’t be there the following day. We tipped him well, but the next day, the day of our checkout, a new room attendant who we didn’t know came into the room twice on the pretext of checking the minibar and hung around clearly also expecting to be tipped. We are always happy to tip for service, but this pushy experience made us quite uncomfortable and left a bad final impression of our stay. The day before leaving we asked for a late checkout on one of our two rooms and were told that would be possible for an extra $50 US. We happily agreed to this, but the following morning we were told neither room was available. This seems unlikely as the hotel was not at all busy (it was five days after the terrorist attacks). So we had a few hours hanging around the hot hotel common areas before our airport pickup. Not the best way to end what was otherwise a very enjoyable and relaxed stay.",neutral
Very Good,positive
I mean its amazing to stay there in Heritance Ahungalla Staff is very friendly Food is sooooo yummmmm I been to many different holidays resorts But never seen like here twice a day room cleaning Sea view from the room is so beautiful I mean ten out of ten going for this hotel When you be there you also enjoy it Like we enjoyed there,positive
great view .. but not so great service,neutral
Real R & R,positive
We stayed in room 345 which is over looking the second pool with a side view of the ocean. It is on the top floor,neutral
"We are very impressed with the way that Chamuditha on position Supervisor treated us and have care of us , durning our holiday he just made our stay in Heritance the dream holiday big thanks to him and to hotel Heritance, for sure we will visit Sri Lanka again next season ❤️",positive
I came here for celebrate my wife's birthday . Had memorable experience here . Place was nice. Room is very clean and present . And have nice view of indian ocean . Food was delicious .staff was very friendly .definitely next time i will come here.......,positive
Enjoyable but hotel requires updating,neutral
Over loaded with people and not enough resources,negative
"We were a family of ten having booked five rooms in Heritance Ahungalla and were really looking forward to our stay after a long drive of Six hours from Nuwara Eliya. But right from check in it was a big disappointment, as check in itself took more than one hour. The rooms were not as expected of this property, the key didn’t work for one room, lights didn’t work in another room, the wash rooms were ancient looking with flush making scary sound in another room. The pass word for wife was outdated and had to be changed. The duty manager was not apologetic but showing his helplessness , arrogant and argumentative.The rooms were of different sizes and badly done up, never expected from Heritage Ahungalla.Instead of king size beds we were given single beds joined . It was a terrible experience stay and the worst of our trip of seven days in Sri Lanka. We will never recommend this hotel to any one. J P Alex and family.",negative
"The hospitality starts from the 1st step into the hotel; warm welcome with traditional variety of fresh juices. Front desk was very helpful and friendly. Once they saw the kids, they were informing the parents about the events organized for the kids on that day. They had magic show and chef programs for kids during our stay. The room was clean. Food was amazing at the restaurant and all staff were very helpful. In the night, they had local live music. This hotel has 2 pools; The green pool with Jacuzzi and trees around is my choice and it is the best. They also have plenty of indoor and outdoor sports.",positive
"We stayed one night in February 2022 at Heritance Ahungalla. The room was very spacious and clean. We requested a quiet room and the hotel gave us a room which is far from the central pool area, facing the second pool. It was indeed very quiet. The welcome fruit was nice touch. The staff there are very nice and you can ask all kinds of questions. Buffet for dinner and breakfast had both good selection. You can taste authentic Sri Lankan food there although there are many western dishes. We sat in the garden at the dinner as it was quieter. The beach is wonderful and great place to watch sunset. The pool in the center was bit clouded but the second pool was not soo bad. If you want to experience Bawa hotel, this is another wonderful resort.",positive
Fantastic place to holiday,positive
"Beautiful beach, hotel could use some refreshing to actually be considered a five star",positive
Imogen P-T,negative
"Almost all the rooms have a sea view, although some are side view. Probably get one anyway if you don&#39;t pay, although you may be unlucky.",neutral
Holiday with friends,positive
"We hosted an International Conference on Assisted Reproductive Technologies for a group of 90 doctors from around the world. We have been hosting such meetings annually in destinations like Nepal, Goa, Khajuraho, Seychelles, Singapore & more. This was one of our best experiences with a Hotel that taught us what Sri Lankan hospitality is all about. The front office staff, the back-end staff, the F & B staff and the event management team were all excellent and helpful and set new bench-marks fro us for future meetings. The property is visually stunning and the open lobby takes your breath away with the majestic ocean view on entering the Hotel. Attention to small details like the design of the trolley that brings welcome drinks to a guest checking in and the smiling faces of the front desk staff go a long way in first impressions. Although the property is 35 years old, it is very well maintained with huge trees planted in the stair-wells. The architecture and design and the room interiors all blend for an exotic asian experience. The meals are wonderful, the four bars in the hotel are superlative and the three swimming pools take your breath away. The conference was running two halls simultaneously and the meeting went off without a glitch. Three nights we had music concerts in the main hall and cocktails being served. This was a global gathering and the unanimous opinion was ""this was one of the best experiences we have had!"" Since I was the President of the meeting, I did not have time to relax and want to go back for a short break only to take in the same sights and smells again. This was like Heaven.",positive
Average stay,neutral
Excellent experience!!!!,positive
Heritance Ahungalla: Heritance Ahungalla is an Ideal place to enjoy with your family. Appreciate their friendly services. International foods as well as Authentic Sri Lankan Cuisine. Thank u Heritance Ahungalla,positive
Try another hotel,negative
poor service made our stay slightly exhausting...,negative
had sea view very nice and quite,positive
Old style and average service,neutral
"this is the 3rd time I have been to Ahungalla, sorry to say I found it pretty ordinary, definitely not 5-star anymore. Good: Friendly staff. Bad: Terrible buffet and food offering, pretty ordinary food repeated again and again. Not worth it. Though it is costly, hard even to believe aitkense runs this place. Cleanliness in toilets and bathrooms is not up to the standard. Pretty an ordinary set-up, not the hotel it used to be.",negative
One of the best hotels with authentic Sri Lankan hospitality,positive
"Came here for a couple of nights on our family trip to Sri Lanka. Rooms were clean and comfortable and service was overall very good. The main breakfast / dinner restaurant was always smoky (from preparing food) and it seemed there was no air con or exhaust fan to remove the smoke. Selection of food at the buffet was good. Cocktails were poorly made and extremely strong! Pool was not as clean as expected and it didn't seem that it was cleaned everyday. Jacuzzi was full of sand. The shower glass in our bathroom had soap scum which looked like it hadn't been cleaned for a month. Security around the perimeter of the hotel especially on the beach side needs to be beefed up. There were a few people around the beach who were hassling the patrons. The positives were that there was a live band at the bar every night and amazing views of the beach from the rooms. Overall, average especially for a resort that is meant to be 5 star.",neutral
"Do not select a room facing other room balconies, It is bit irritating. try to get a room facing the sea :-)",neutral
"I planned a day out two weeks ago and requested details from the Hotel. I got the confirmation on 10 Feb with the reservation number. Representative from the hotel called me and confirmed my booking also. When We went to the hotel, the front office said they could not give us a room since hotel is fully occupied and they give the rooms for the day use on availability basis(not informed at the time of booking). However, they agreed to give us a changing room (B Grade room as per the front office) on FOC basis and we said ok since we traveled 2 hours from Colombo to Ahungalla. However, we didn't get the changing room also which was agreed to give within 10 minutes. We were there for about 1 hour and we cancelled our day out and came back to Colombo. At that time the front office staff asked the confirmation number and he said the booking was in the system. :( I don't about the process of Heritance Ahungalla, but this was my experience with this Hotel.",negative
"It's not like it used to be when they used to call it Triton, The staff at some points are friendly, the food was not up to standard compared to what we use to have, you could have counted the number of dishes on the buffet and it was 70% Sri Lankan, we requested for a set of pillows at around 10.30 p.m which we did not receive when we called the phone was diverted to someone who abruptly told us that the hotel is closed after 10.30 so the housekeeping is not available and therefore they cannot do anything, once asked who is speaking did he say he is the security, and hung up abruptly, we called again and then the reception adhered to our request.",negative
"Unhappy experience. Boring food, unprofessional front office staff. Spa was awesome",negative
バワ建築ということで止まりましたが いたって普通でした。,negative
Make sure to book on a day that isn&#39;t Saturday/Sunday. It tends to get crowded,neutral
"I had read so many great reviews about this hotel and was really looking forward to staying here, and I somehow feel like I have stayed on another planet compared to the other people who reviewed here. I will comment that the Chef Sarun was fantastic and made the best meal we had in Sri Lanka, the gentleman who was serving us was very good. Now, the hotel is getting very tired and could use a renovation, I was first taken to a room with 2 single beds, being a couple this wasn't good enough, but also laying on the bed it was comfy, the second room had a double bed but was uncomfortable, so we left it to the young man who took us to the room to try and sort out something else - either putting blankets under or a pillow top, anything, we gave them 2hrs and nothing happened. I went to reception, spoke with the executive gentleman, who apologized and said we could look at other rooms, apparently they only have 1 type of mattress which I don't believe. In the meantime I had ordered food from the restaurant and was told it would still be another 15mins away, we proceeded to the next room, same, next room same, so I said I would settle just for the twin singles as we were only staying one night. He then said he would get a new room sorted out and have our luggage moved. When I got back, my food was waiting and it was cold, less than 15mins. I advised the waiter and he said thanks- what for ????? We waited 1hr for no key, went to reception and collected our new room key. Went to the room, located at the end of the hotel, and our luggage was not there yet. Next thing I'm looking at the table and there is ANTS EVERYWHERE, now I'm talking about 1000+ all having a little party on the ground and under the table, walking down the walls etc. I have plenty of photos which I will put up when I have better Internet at home. I rang front desk and we got moved again 2 doors down, we went for a swim for 1hr again, come back and there was more ANTS in the room. We didn't get offered another room, but got dinner which is the only reason this gets a 2 star and not 1. We didn't sleep very well and the band / music was playing very loud well into the night. We had to check out at 7am, I had ordered a breakfast, but when I went to check out, I was hauled to the cashier office, and they kept me there for 10mins arguing about the meal from the afternoon which was cold and I was told would be taken off the room, and, they also tried to charge me for a phone call from my room, which was the executive ringing the manager about the ANTS. The lady who apparently was guest relations needs to be sacked, the cashier needs to be sacked for trying to rip me off. This left the worst taste in my opinion of Sri Lanka and I cannot believe this hotels staff would act like this to customers. I would not recommend this hotel to anyone, hopefully management looks at this and takes action.",negative
"We booked our holiday in aid of 2 special events, our wedding anniversary and our friends wanted to renew their vows celebrating 25 years of marriage. In the run up to the holiday we contacted their Guest Relations Executive a Shanika Jayasekara who really was fantastic. Shanika went above and beyond to make sure both events were very special, we had room upgrades and these were right by the green pool which was our preferred room location, our rooms were made available for an early check in and this was quick and hassle free with a welcoming drink and cold face towels. On the day of our anniversary we were made to feel very special and given a cake in the evening and our table was decorated beautifully with flowers. As a surprise for our friends renewing their vows we had arranged for their grown up children to fly out for the ceremony and to join us for the rest of the holiday, Shanika was able to allocate them a room next to ours and help hide them until the ceremony. The vow renewal was a very special event indeed with drummers, dancers and an elephant, the way the hotel and especially Shanika organise these events is perfect, they really do think of everything which means we were able to just sit back and enjoy every minute of their special day. The package price was very reasonable and included a 5 course meal on the beach in the evening, with a cake. The hotel itself has the friendliest staff who really want to ensure you have a fantastic time, we are still here at the moment but felt we had to write a review sooner rather than later to let everyone know what a fantastic hotel this is. The food is very good and always something to choose to meet our tastes and if not the chef will happily cook something especially for you, we chose to eat outside in the garden area which was quieter than the main restaurant and lit beautifully with lanterns. The pool attendants made sure we had 7 sunbeds in the gardens right between our rooms and the green pool which was beautifully quiet with rarely more than 5 people in it at any one time. The beach sellers are not pushy if you are firm with them, we were able to relax on the beach without much disturbance. There are other members of staff who deserve mentioning but unfortunately while writing this I do not have their names at hand, however I will endeavour to write an addition review to this at the end of the holiday when I have their names and can give a final update.",positive
Would love to go back!,negative
"Schönes Hotel, aber...",neutral
"Unless your dream holiday is to sit by a pool all day with staff continually at beck and call this isn't for you. There is very little to do around the hotel unless you have a car or a driver. we found ourselves getting rather bored of it, quite quickly. The hotel is on a stunning sandy beach but you cannot swim in the sea, and the areas round the two pools are full of Russians with money to burn. I don't like customers being rude to staff but saw plenty of this. However staff accepted it due to massive tips and pretty much ignored everyone else. Food in the hotel was good and rooms were clean but wouldn't go back. The whole hotel was pretty impersonal with massive long white corridors which reminded me of Victorian hospitals. This hotel was the final one on our trip so we only stayed two nights, which for us was one night too many. As I said in my intro the hotel was perfect if you want to spend all day on a sun lounger but it didn't suit us.",negative
Good but losing a bit of magic,neutral
His is hotel is very big and beautiful the pool is very great and the beach is very beautiful.... love the rooms andbthe facilities it has also rhe food here is very tasty ...excellent job by the kitchen..... also the staff and the service here is superb definitly will visit this hotel again,positive
Winter Break January 2017,neutral
The pool is less than one meter deep. A small portion is 2.67 meter,negative
Excellent Experience and Beautiful place,positive
"Comfortable, but a little ""tired"".",neutral
Arrived at the Heritance Ahungalla at 2.00am in the morning after a 10.5 hour flight from Gatwick and a 2 hour coach transfer from airport. Absolutely tired out. We had booked 2 double rooms and 2 single rooms through Thomson's I had had problems regarding the wrong names in the wrong rooms and couldn't get it sorted through their call centre. When we went to check in they had only three rooms with a little bit of stern talk they sorted it. I believe the problem lies with Thomson's Their airport Rep was with us but did absolutely nothing to help. After that the Holiday was superb. The Hotel has the most friendly of staff Especially Himasha. The Buffet food is excellent with a vast variety of cuisines from English through Italian to Chinese and Asian. One tip! every one advises not to swim in the sea. as there are strong under currents safe enough to paddle but even then you can feel the under current drawing you out. However the 2 Hotel pools are beautiful and so swimming is no problem. I should give this hotel a rating of 5 but the problem at check in forces me to drop a star sorry.,negative
"Heritance Ahungalla is a hotel i have wanted to visit since i was teenager. I had great memories of cozy bedrooms and an array of foods. Unfortunately, I went on holiday to this hotel recently and i was greatly disappointed. The suites are ridiculous and needs refurbishing, the bathrooms in the suites are laughable. The food was the only thing that lived a little bit up to expectation.",negative
High floor rooms give you a better view.,neutral
Ask for a refurbished room,neutral
Very good hotel it has good food and it is clean .the stuff make their best to serve the guests as best as they can .the Spa in it is good You can take a nice relax in its huge gardens .the location of the hotel is good. In general it is a very good choice we have made,positive
Honeymoon,positive
I must say that the staff is very lovely specially Anushka & Dayal and the pool staff.. The rooms is lovely and we are staying in the cliff Richards suite... And the housekeeping is very good always decorates our room.. .. The food is excellent...,positive
"Every year when we're visiting Sri Lanka, Heritance Ahungalla is a must. With all the newer hotels around, Heritance has proved to be a very solid hotel and has never disappointed us. Accommodations, pools, and food is great and the service of the staff is exemplary. They are very attentive, helpful and never without a smile. With two young children, our family always has an awesome time there and will keep visiting. Thank you.",positive
Graduation in Sri Lanka,positive
"A luxurious hotel on the shore of the Indian ocean. Imho, the contingent here is not very pleasant, someone turns on his music on the speaker while you listen to live music, someone tik-toki watching at full volume, and the staff does not care. Also, guides or some other people are constantly pestering on the beach and offering their overpriced services. You are just perceived as a money bag here.",negative
Pleasant stay,positive
Best hotel we stayed at in SL,positive
"See comments below. Rooms - very poor, given cost Food- depends when you eat, the later the worse. Beach location excellent Gardens excellent. Staff good Definitely wouldn't go again or recommend. Yet the outdoor areas were lovely",neutral
Needs To Try Harder,neutral
"The staff in Resteraunt need Training, Not attentive to customers",negative
Definitely not a 5 starts hotel,negative
The hotel is located near the beach and location is good. But the hospitality is not so good. Room is also not up to the mark as the sliding door of the bathroom was jammed and room was not cleaned before handing to us. The food was ok ok but catering staff was courteous. Try for Taj Bentota instead.,neutral
Over priced and ripped off !!!,negative
"We have spent 2 weeks in Heritance Ahungalla which is really a great place with a beautuful architecture. Rooms are spacious and always clean. There are two big pools, one is a bit quiter and secluded for more a relaxing atmospshere if requiredThe restaurant offers delicious food of all kind, a lot of local dishes and a great choice of deserts. Besides the facilities, what makes the hotel really special are very kind people, always offering a great service and meet every whish you might have. All staff was really great with no exception, special thanks to restaurant manager Duminda and team, our main waiter Jacob, pastry chef Kavinda and team, executive chef Nalinda and team, chef Rahul for a great authentic cooking experiance, pool supervisor Chatu and Rebecca and Maduranga from the pool bar.",positive
Avoid like the plague,negative
The Most Amazing Staff,positive
Perfect beach holiday resort,positive
Awesome trip to relax and feel the sun and the ocean at its best! Special thanks to Manoi for perfect room cleaning!,positive
Some staff were more attentive to some guests and not others - probably knew they were going to get a huge tip!!! Reception staff not as good as the other staff.,neutral
Food menu,positive
Choose upper floors for a view,neutral
"Okay it's one of the best hotel is Sri Lanka, it has won the award of best leisure hotel by the minister of tourism. Sure, the two pools are outstanding, the rooms are nice, the area is quiet and the beach is nice but... staying there we kept asking ourselves: is it how one should experience Sri Lanka beaches? Just before we stayed at Mirissa, a lovely beach with a lot of atmosphere, a couple small hotels and guest houses, a few waterfront bars and a great laid back atmosphere. The Heritance is the opposite. Big resort where you pay over-priced drink and food served by stylish staff. The hotel probably owns the beach, because there is nothing else around. Would advice to go there if you don't mind missing the charm of more ""informal places"". Compare to other places, we found the contact with the locals to be biased. It's either hotel staff or very insisting beach sellers. The later can be quite annoying especially when the seat in group of 8-10 just in front of your chair and stay all day long. The food was not exceptional, certainly not in line with the price they ask for it (in Sri Lankan terms of course!).",neutral
"My friend and I stayed at this hotel for the last 4 days of our sri lankan tour. We stopped off at the turtle sanctuary beforehand which was very cute (15 mins ish from hotel) we had a lovely greeting at the hotel- staff very pleasant. Our room was sweet, we got a complimentary upgrade. Spacious room, lovely sea view. Room a little old, could do with a bit of a spruce up. Poolside and beach were very quiet, got a sun bed every day. The ""beach boys"" were quite annoying and pushy but on the last day we bought something from the ladies and gave them some of our stuff, they are poor so appreciated it. Weather in late April Was ok, very very very hot, slightly cloudy, a little rain. Beach was beautiful but didn't venture into the rough sea. Stayed on the hotel complex as it's a little out. Food was ok, nothing special but staff really helpful. 4 days was perfect wouldn't do anymore. All in all a lovely stay just could do with an update.",neutral
"Approach to hotel uninviting, but then through the gates a lovely setting and warm welcome, but irritation factor from incessant beach vendors and loud guests and even the street dogs make it into the hotel too because of its open design. Felt sorry for the staff dealing with inconsiderate drunks day and night. The service was hit and miss, food varied and well presented, but not the best I had in Sri Lanka, though signature spiced ice cream was wonderful. Some very nice staff, but suspect some unsavoury ones in league with beach vendors and tuk tuk drivers. Beach immediately in front of hotel fine, but elsewhere litter and no peace if walking cos of beach boys. Found lack of chains and double locks on room doors unnerving. Pillows gave best night's sleep in SL. Spa has a great range of treatments and lovely staff and one of the nicest I have ever been to and worth every penny. Would not choose to return here unfortunately. Prefer Heritance Kandalama.",neutral
"Overall we were disappointed with this hotel compared to others we stayed in during our trip to Sri Lanka. The room was tired and badly needing updated, things like seeing the same room service plates still outside the same room door hours later was unhygienic and attracted bugs. The food, we were half board so ate at the buffet breakfast and dinner. I really struggled as at dinner there was only a variety of curries available and being pregnant and adverse to certain smells I couldn’t even go up to see what was available. However the staff were fantastic at dealing with this for me and I honestly couldn’t have been in better hands. I really did appreciate their efforts in ensuring I ate a proper meal once they realised I was struggling. The pools were easily the best pools we had access to during our trip, we spent a lot more time using these facilities than we did anywhere else. One of the things I disliked was being shouted at from behind the chain link fence to come and see what the locals were selling but they’re not on hotel property so I understand there isn’t anything staff can do about them. We were on our honeymoon and our tour operator had told us in our itinerary to bring our marriage certificate in order to receive honeymoon benefits. However when we checked in staff said it wasn’t needed and didn’t acknowledge it was our honeymoon at all.",neutral
We just stayed one day full board basis and it was really worth the drive and the money we spent. Booked the hotel with an offer but the comforts and facilities were just the same like before. Staff was extra ordinary going out of the way to help us. Really enjoyed. Food was delicious.,positive
"Having stayed at this hotel around 8 or 9 times over the last 20 years, we returned with high expectations. I am pleased to be able to say that the actual experience exceeded our expectations. We were given a large room on the top floor, well away from the restaurants and other potential sources of noise. The room was furnished beautifully and the bed was very comfortable. Everything was squeaky-clean and kept that way by our room boy, who also replenished our fruit bowl regularly. The hotel has a superb location at the end of a long beach and we were pleased to find that you can still stroll along its full extent without meeting more than a handful of people. There are two pools and plenty of sunbeds in the extensive garden area, where you can watch the many birds and chipmunks as well as the occasional monitor lizard passing through. We enjoyed the food, particularly the excellent dinner arranged for us by the head chef. The weather during our stay was pretty mixed, but we managed a few dinners at the seafood station by the side of the pool. I would recommend both the food and the relaxed atmosphere there.There is also a small covered 'open-air' restaurant area, where we had some good curries. Breakfast is a sumptuous affair with a wide range of choices, including hoppers and curries as well as the more traditional European-style offerings. There is also a splendid selection of fruit and juices. Whilst the hotel and its facilities are very good indeed, it was the friendliness and efficiency of the staff which really made our stay memorable. We were constantly surprised by the way in which people anticipated our wishes/preferences and provided what we were looking for - and much more - without ever having to ask for it. Truly exceptional service and hospitality! There were many familiar faces amongst the staff and we were also pleased to find that Eranda, our favourite tuk-tuk driver, was still offering his services by the gate. We have used him on many occasions and have found him very accommodating and utterly reliable. Resort areas such as Bentota and Hikkaduwa are within easy reach by tuk-tuk. We even went as far as Unawatuna this time - and enjoyed a 'roti lunch' with Eranda in Galle on the way. (Without him we would have struggled to order anything.) As the title above suggests, we have no complaints whatsoever. We only regretted not being able to stay longer. However, we will certainly try to come back.",positive
Friendly Staff with aweome treatment,positive
Holiday with the fam,positive
In this hotel as you entered you feel very relaxed.... most of all it is very eye appealing.... and the staff is very helpful and explainsbthe hotel very clearly and provides all tge information... and when we went fir lunch the food was delicious and the. Service is. Excellent...... lovely hotel overall and must to visit place....,positive
Heritance Ahungalla stay for 2 nights and three days,negative
Never take the rooms on the ground floor unless they open direct to the pool.,negative
Mediocre Stay,negative
"Property: Whole Hotel is situated in a calm and quiet property... Though secluded from the city of colombo... you can manage to get all necessities if you travel in very short distance... Service: Service within hotel is not good... They need to stick to basics... * There was lint on the bed sheets from the cushions and the comforter... * There was no shampoo in the bath, on asking i was informed shampoo and bath gel is one and the same... When asked whether the person claiming so was sure about it... he returned with shampoo... * You are given seat in restaurant however you are not served water until you ask for it... You have to remind the attendants to refill water more than once... * Language is a problem, however all the people try their best to communicate... Thumbs Up: GEMS and Jewel Shop is pretty good...",neutral
"Plus: Rooms: nicely maintained, well serviced. Animation team: friendly and engaging Restaurant: staff are friendly and food is good and varied Beach and swing pool: attractive, but also some minuses. Minus: Price of drinks (e.g. wine, cappuccino, cocktails) too expensive compared with similar category hotels in Sri Lanka Cleanliness of premises: with a little more effort would this place be cleaner and thus more attractive. Windy weather conditions are not an excuse to leave things on the ground. Hotels in Sri Lanka clearly do an effort to group Chinese visitors together in the restaurant. This is not just a detail as the habits of these people was often experienced as plain impolite: noisy, jumping to front of queue ....",neutral
Honeymoon 🍯❤️,positive
"We stayed at this hotel for a week at the end of a touring holiday in Sri Lanka. It is claimed to be the only five-star hotel on this coast, which is not entirely accurate. In some aspects the hotel is very good - the two huge swimming pools, large public areas, well spread-out accommodation & nicely-appointed rooms - and deserves its five stars. However, there are some aspects which are not five-star and were a source of irritation during our stay. For example, on the whole, the food was very good but tended to be served not very hot, and is rather expensive for what it is. We tried the buffet, which is OK, but very expensive. We had several meals in the Coffee Shop, which is more reasonable in price but, despite being a la carte, we twice had to send food back because it was virtually cold. Getting things like that fixed, which would happen promptly in a real 5-star hotel, seemed to take an age. Service is helpful & charming, but inept and inefficient at times. There often seems to be no-one on duty with sufficient authority to make a decision about things. Complaints are handled by constantly referring them to some-one else, who often is not in a position to actually do anything, other than telling someone else. The staff are not very quick to clear up after the rain sweeps into the public areas (which are tiled) leaving very slippery surfaces around for too long. Overall we enjoyed our stay at the hotel, but I think they could try harder to merit their 5-star tag.",neutral
"Excellent , superb service and superb hospitality!- Jerome",positive
Didnt enjoy the food,negative
We are really happy to see one of the greatest product of bawa in Sri Lanka. Room is excellent and spacious. Staff us very friendly and helpful...... My kids enjoy two swimming pools......beach is nice and clean......food is tasty.......we will be back.,positive
"I booked three rooms at half-board and came with my wife, 20 month old daughter and wife's relatives for two nights in September 2013. I was keen to experience a Geoffrey Bawa architected hotel and was impressed by the thoughtfulness of his design. The hotel aims to merge with nature, and allow for breezes to flow throughout the compound, providing a natural cooling. There were two pools, which we well maintained and a great place to lounge through during the day. I was very keen to experience the food at the hotel - as I had heard that it was rated as one of the best dining resorts in Sri Lanka and I was not disappointed. I was struck by the thoughtfulness of the dishes in the Jute restaurant - and also couldn't recall any dish tasting bad. All the food was balanced and tasty. Even the Sri Lankan food was unbelievably good. The staff were helpful and always with a smile. Also enjoyed the gym, badmington court and table tennis facility in the venue. The only negative for me was the reasonable isolation of the resort. As I tend to always like to explore the surroundings, I was a bit disappointed when leaving the resort by the lack of facilities around walking distance of the hotel. Again that was my preference, but if you wish to travel and only stay in a resort to rest and relax it is a great place.",positive
&quot;Rooms in the 3rd floor north side&quot;,neutral
"All rooms are sea facing and have 3 floors, higher floor gives you a better view.",neutral
"mixed feeling about this hotel. the hotel grounds are beautiful, the pools and the beach are great but the building itself and the rooms are kind of old. the staff are helpful and it had a good breakfast spread. the main issue was the toilet as there was a weird mold or sewer smell",neutral
Little snippet of heaveb,neutral
This hotel was very nice and pleasant. The beach was remarkable and the food was very good. I will definitely come again! If there is a place that you want to have that is very peaceful where the staff treat you with respect and humility than this is it.,positive
Our first Sri Lanka Trip... and not the last !!!,neutral
Away from the reception area and bar area.,negative
"Food is awesome, fresh and great selection for every palette. Quick work out at the fully equipped gym and a long dip in one of the two big pools is a great way of relaxing. The rooms are big and well equipped with good view of the pool. Friendly and attentive staff.",positive
"Visited Heritance Ahungalla with my family...there's service was superb...specially in the Restaurant. Girls are who working in the restaurant and the pool bar very kindness and always helpful. I would like to mention some names...LASITHA,MADU,ANUSHKA,LAKSHIKA AND MADUBASHINI.. Good variety foods in the buffet and some authentic foods as well. They have marvellous beach location and two large pools..one of the famous Architecture called Geoffrey bawa done a unbelievable structure.",positive
