text,sentiment
"Our planned highlight, to the end of our Sri Lankan tour, was a frustrating disappointment. We arrived tired and sick, hoping for a clean comfortable room and some simple food. Even though we had booked and paid 6 months earlier, it took a long time to allocate us a room. The room smelled of mould and mould was easily found in the bathroom. My wife complained, but all the staff could do was find the missing outdoor furniture. At dinner, the first night, we had difficulty finding plain food, that would not aggravate our upset stomachs. The chef kindly offered to prepare mashed potatoes, peas and grilled chicken, for us, the next night. However, the next day, this offer was undone by management, who declared we had been selected for ""Fine dining"". Fearing this was Sringlish for extra spicy, we gave up and went to bed early, without dinned, which we had already paid for. At least at checkout, as some compensation, the hotel did not charge for the sandwich and hamburger, we had at the bar. After my wife presented mouldy toiletries to management, they did offer to change rooms, on the second day; but it was too little too late. The hotel has an impressive entrance and sea view. But what good are those when the hotel fails the basics of room and food.",negative
"Stay was great but 1. Considering there is nothing nearby to eat the food choices for A la cart and Room service are very very limited. 2. Phone receiver was smelly. None of the buttons worked 3. Door stopper broken and the the door kept banging if left open for a few seconds 4. Space beneath bed had not been swept or cleaned in a long time 5. TV was not working . Hotel staff were warm and Service was lovely. The location and rooms were fabulous, so we overlooked all faults except Point number 1 on Food.",negative
Awesome! So relaxing,positive
"It was very good hotel for stay, but there was good options for vegetarian.Food for non vegetarian was also not upto the mark of 5 star. The amount they charge for Buffet is exorbitant compared to the quality of the good they provide.",positive
"Amazing 2 nights spent at Heritance Ahungalla during our trip around Sri Lanka. The pool was amazing, rooms well appointed and comfortable, great selection of food in the restaurant, and situated on one of the most beautiful beaches in Sri Lanka. Above all the professionalism and friendliness of the staff was second to none. Will certainly stay here on my next visit to Sri Lanka and would have no hesitation in recommending this hotel.",positive
Very Good. Recommended,positive
"I thought the ""fine dining"" restaurant was disappointing and over-priced. The hotel felt too ""Buckland's Holiday Camp"" for me. Couldn't wait to leave each day on other activities outside the hotel. It looked to me also that the original building design had been messed with. The model airplane at the end of the 'infinity"" pool was ridiculous. Surely Geofrey bawa would not have approved.",negative
"This hotel is beautiful. 2 swimming pools, that meet the beach. Good food and variety - mostly local style. Very comfortable rooms. Our rooms had balconies overlooking the garden and beach. Staff were friendly, excellent English and couldn't do enough to make our stat memorable. Highly recommend. Good midway point between Bentota and Galle.",positive
"it was a really relaxing hotel, staff couldnt do enough for you and were very friendly and spoke english.",positive
Hotel located in good Hotel and some of the staff were very friendly. Had to always wait over 1 hour to have meals served after they were ordered. _x000D_ _x000D_ The website indicated that drivers got free accommodation and 3 meals but the staff did not honor this and made our driver pay. It was very get hold of the Manager to complain so something could be done. Our Driver did not end up getting the money back either> Very Disappointing. _x000D_ _x000D_ Sport Staff (Raja) was very good and was very helpful.. One out of many!!,negative
the hotel is beautiful with great view from the lobby. the sandy beach is quiet.,positive
"after a tiring drive, the pool just across the lobby is refreshing and you just want to dive in. The music from the bar next door keeps u upbeat, and top class service wants to enjoy the moment._x000D_ Awesome place to relax and unwind.",positive
The service was lovely at the hotel. The staff were friendly and were not only helpful but always greated us with a smile. The hotel itself is beautiful with it's own private beach.,positive
"Assez cher pour ce séjour qui était très bien mais pas exceptionnel. L’hôtel est rempli de monde partout. Les 2 piscines sont grandes heureusement mais pas d’impression d’exclusivité et d’intimité. Les repas ne sont pas terribles mais nous avons passé 3jours de repos, et la chambre était très agréable.",neutral
"Wir sind spontan und leider nur für eine Nacht in dieses Hotel, aber es war einer der besten Aufenthalte des Urlaubs: das Personal war super freundlich und hilfsbereit. Ich hatte meinen kleinen Rucksack im Uber vergessen und mir wurde SOFORT geholfen, alles wieder zurückzubekommen. Das Essen und die Zimmer waren auch top!",positive
geen verdere aanvulling,negative
建物は年季が入っており、少し古臭い。 部屋は可もなく不可もなく。 清潔感はある。,negative
朝食からディナーまでビュッフェで、作り置きのものしかない。全く美味しいと感じられなかった。 大規模なホテルで団体客も多いので仕方がないかもしれないが、１人で泊まる時は、ここではなく、小さな居心地の良いホテルを選ぼうと思う。 食事以外は建物もプールもキレイで悪くない。,negative
Galleから電車でAhungalleに向かいました。日が出てると汗だくになりますが、駅からは歩ける距離です。 ホテルはBawa建築の大変ステキな作りです！！部屋も広々していて、1階だとすぐに庭やプールに出ることができます。 小さなアリがお部屋に入ってきますが、小さなお客さまと思って迎えてあげるといいと思います(笑) プールも2箇所、卓球、バトミントンコート(屋外)、テニスコート(屋外)もありました。 食事は、ビュッフェが大変充実しています。室内/屋外でも取ることができ、雰囲気も良いです。 また年末にも来る予定です！,positive
1日だけの滞在です。一泊一部屋1万円ちょっとで泊まれて大満足でした。 [スタッフ] みなさんフレンドリー＆親切。笑顔で迎えてくれました。 日本語の話せるスタッフもいました（中国人と間違われましたが） [お部屋] ツインベッドをゲットできました。お部屋は広々としていて快適。 バルコニーからは海が見えました。 ウェルカムフルーツは、マンゴー、バナナ、パッションフルーツ・・と スリランカフルーツがたくさん！ できればもう一泊したかったな・・・。 [ビーチ] 少し波が高かったですが、インド洋に沈む夕日が見れました。 ただスリランカのビーチ全般に言えることですがビーチがプライベートビーチ になっていないため現地の人＆物売りが多いので注意 [客層] お値段が安いこととコロンボから近いこともあってスリランカ人が多かったです。 次に多いのは中国人。食事中にＤＶＤ大音量でかけていたりしていて閉口。,positive
先ず、エントランスの開放感とスタッフの笑顔の対応に感激しました。客室もとても綺麗に掃除されており、茶色で統一されていてリラックス出来るリゾートホテルそのものでした。アメニティーも多く、シャワーも凄く良かったです。_x000D_ エントランスのプールは夜ライトアップされていて綺麗で、泳いでいて気持ちよかったな♪_x000D_ ＳＰＡも利用しましたが、心からリラックスでき、夕食のビュッフェも美味しかったです！_x000D_ 町からは離れていますが、タクシーやトゥクトゥクで１５～２０分位で着きます。静かな所なので返ってよかったです。又宿泊したい、最高のホテルでした！！！！！,positive
设施不错，但海水和海滩都不好,neutral
临到出行前，酒店才通知说没有房间，给替换到另外一家酒店。对酒店这钟行为非常鄙视。抵达到酒店前台交涉期间，路线有外国团队来办理入住，个人觉得就是把我们预定的酒店让给了别人。酒店真的很美，环境不错，早晚餐也非常丰盛，对于这次没有住到这家酒店感觉很遗憾。,negative
الفندق نظيف جدا ولكن التكييف حار شوي حواجز الجدار في الطابق العلوي صغيره جدا خطيرة على الاطفال ولكن مع ذلك انصح السكن به,neutral
ممتعة وانصح برتياده لهدوئه وحسن تعامل موظفينه وكبر غرفة,positive
Rätt trist atmosfär på hotellet. Stranden är ej badbar pga starka strömmar. Få bra restauranger i närheten och hotellets priser på mat och dryck är alldeles för höga. Kommer aldrig bo där igen och rekommenderar det inte.,negative
This resort stands out as one of the resorts in Sri Lanka which involves the guests for some activities through the day or simply relax and enjoy the vast beach or pool or the room itself. The food is predominantly European with few Lankan dishes. Any other dishes such as Indian may not be up to the mark yet but the chefs are putting in an effort to get it right.,positive
"Our check-in experience was smooth and quick. The room we stayed in was clean and spacious, which we appreciated. However, the biggest issue was that the AC in our room didn’t work properly, and we had to endure an uncomfortable, hot night. Although the maintenance team tried their best to resolve the issue, they were unsuccessful, and we received no apology or acknowledgment from the hotel management. On top of that, we were contacted about our check-out time, which added to the frustration. The food was tasty, but the buffet selection was quite average",neutral
My parents had a nice stay which was booked for my mums birthday. Service and the cleanliness of the room was very good. They arranged a cake and helped celebrate mums birthday in a special way. Thank you for a such a nice stay! Looking forward to be back.,positive
"Room is spacious,clean and beds are very comfortable. (Best sleep in a month hotel hoping in Sri Lanka) Staff are super friendly and helpful.",positive
"It was a very pleasant stay with heritance ahungalle. Rooms were very clean, comfortable, and facilities available were exceptional. However, dinner was below my expectation, as although the spread was extensive, nothing was tasty, as those lacked the flavour. Also, the table arrangement was a chaos, since the restaurant staff gave priority for group travellers, with no concern at all for small families.",neutral
It was indeed a pleasant stay at the hotel.,positive
Everything was good but we didn’t receive the room category we choose. They said it’s not available. It was a bit disappointing.,neutral
Excellent customer service,positive
Thoroughly enjoyed,positive
Awesome,positive
"It was a mother and daughter. The staff at the hotel from the housekeeping, the restaurant , the reception right down to the pool life guard were amazing. Nothing was too much trouble for any of them. They truly made our stay memorable and we would stay there again in a heartbeat! We requested for sone crab curry during dinner and they were all so willing to please us. Thank you again to Pradeep who took great care of my mum and the rest of the restaurant staff for being so accommodating! The Heritance group should be so proud of their team at Ahungalla!",positive
"Everything was up to standard. The saxophonist was excellent and the staff was exceptional. Dilsha who was at the Reception was really helpful, she went out of her way to make our stay happy.",positive
"An impressive experience to chill out in this resort. The nature , the beach are at the door step.",positive
It was good but its an very old hotel. Also there were disturbance at the beach area from local sellers. Was felt unsafe and uncomfortable. it seems Hotel is not able to contorl them.,neutral
Perfect beach location and great buffet with variety to enjoy.,positive
Hospitality was amazing. Food was fantastic. Love the cultural dance and the atmosphere. Location is very refreshing. Overall great place for value for money.,positive
"We are a family of five: two adults and three children. This was the perfect property- stayed here for 3 nights and did not want to leave! Right from the start, the tall and beautiful Ms. Supunika took care of us. There was some confusion with our booking at the start which she handled very gracefully. We had room 201 and 203, easily the best rooms on the property, ocean view and the children had poo view. The rooms are very large:45sqm of pure bliss. 203 has a massive screen TV so the children were very happy. There was water polo in the pool and we enjoyed games very much. The breakfast was a huge, scrumptious spread that we looked forward to every morning!!! Each dish was absolutely delicious! This is a perfect property for a family!",positive
Nicely designed property with lots of natural elements. Sea is rough mostly if not always - hence settled for pool. Front office lacks lighting and the staff were slow in figuring out simple calculations - wish they could smile a bit. Understandably the security is tight - wish they could be more courteous - this is hospitality industry - everyone is looking forward to improved occupancy rates.,positive
"This was a real haven, a complete getaway from the madding crowd. Beautiful pristine beach, although the sea was very choppy it was still fun battling the waves. The show stopper was the food, they really delivered on every level here, in fact, it was a tad too much but that's what holidays are about... I recommend this place 100%, to be honest, anything after this will probably be a letdown, although you might appreciate the rest from the indulgence. 5/5 on all counts, there were no complaints, Chef Thilian was a great host in the dining room, nothing was too much trouble...I will be back soon...thanks again.",positive
i did not stay at heritance ahungalla since you informed it was fully booked later and transferred me to hotel riu.,negative
staff /service is excellent.It was a great stay. The F&B manager is very good and very helpful. food can be better(croissants and danish's not flaky),positive
"We had a great time here, staff was really great they were very attentive and fulfilled all our requests to the best, we were very impressed. Beautiful location by the beach.",positive
I ordered my breakfast to the room which I didn't get .then they firmly apologized for not giving me the breakfast.then asked me to have the lunch instead .then when I had the lunch asked me to pay for it .mind you I was allocated for a complimentary breakfast with the package I paid .,negative
"Fantastic but would have been nearly perfect if there hadn't been a wild dog lose in the corridor howling and looking very threatening at 3am. It's nearly unavoidable to have them trying to get in close due to the wonderful open modernist architecture, but staff should be patrolling the open spaces at night much more regularly. My impression is that staff doesn't patrol these spaces at all at night. Also since it's not easy to get to a town for supplies, a small convenience store should be included, where you could buy personal items, like sunscreen, shaving cream, etc.",positive
"Upon checking in, power for the room went off. Phone in the hotel room was also faulty. Cleanliness of the bathroom was not up to standard. Dinner buffet was limited in variety and lacking in taste.",negative
"Swimming pool not very clean, but good location. Food not really good but rooms are ok.",neutral
"Outstanding location, super friendly and helpful staff, delicious food. Really comfy bed! DIDN'T WANT TO LEAVE!!!",positive
Geoffery Bawa's infinity pool was amazingly beautiful. we stayed there for two days in May 2015. A perfect location for a quiet holiday. Only pity part was dinner. Main restaurant offers only buffet which was not so attractive. Room service was much better but limited selection.,positive
very good,positive
"This was a lively way to finish our 3 weeks in Sri Lanka. The spa has beautiful treatments to help unwind and the pool area and gardens were lively and relaxing. We were there at monsoon season, so had the daily downpour but this did not dampen our stay. The beach was too rough for swimming and the beach sharks ( locals selling sarongs and free trips to see the turtles and local gem shop were out in full force). The rooms were lovely and the staff so helpful and always smiling. A lovely retreat at the end of our vacation.",positive
"We felt we could not relax whilst in the grounds, the local sellers both men and women, hid in the bushes of the hotel on the beach, waiting to get people's attention. As soon as you stepped onto the beach, you were surrounded by them. Also so much rubbish strewn about the perimeter. Overall the hotel lacked any atmosphere, maybe it is too large for that? The staff were all lovely and friendly. For the money we both felt very let down, it is marked as a 5 star hotel but I would disagree with that.",negative
"Enjoyed our stay here. Very friendly and accommodating staff. Room was large, spacious, clean and we had a large balcony facing the pool and beach. Dc enjoyed the swimming, table tennis, pool table. Breakfast buffet was great. Room service was equally good even though choices were limited. Laundry service was efficient. Getting about wasn't too hard as hotel could arrange for cabs. The gorgeous Geoffrey Bawa-designed hotel and the lovely staff were the main attraction for us. Overall, had a wonderful stay and would definitely recommend a stay at this hotel.",positive
"we were a family of 4. we all had a good relaxing holiday. the only downside was the length of time from airport to hotel. The staff cannot do enough for you, very helpful and friendly, always smiling.",positive
"If you can afford a couple of days dont hesitate to spent the money ( pr. room). _x000D_ Fantastic service, spectacular suroundings and beautiful beach. _x000D_ We had three days of total relaxation including a fantastic New Years dinner/party",positive
Stayed 4 nights at the Heritance. Nothing was too much trouble for the staff and the room was perfect - spacious & clean with a huge balcony overlooking the pool and sea. The food was varied and tasty with a good selection for all meals. There was a very well stocked library and a games room and the hotel had a great feel to it.,positive
"bawa's architecture is a little bit old, but its atmosphere still remained. buffet dinner at the main restaurant had rich selection of creative dishes and offered kind service. local students group having a party at the pool were noisy.",positive
"Me wife, small son and I just spent several nights/days at this hotel and had a wonderful time. We had a 2nd floor room with good-sized outdoor deck overlooking one of the large pools and a tremendous view of the ocean. The room was spacious and nicely furnished. Wifi in room for no extra charge. Very friendly and prompt service at all times. Spacious grounds that were well cared for. Had monkey's occassionally in large room right near room that we could view from deck or while in swimming pool. Food very good. A con is that ocean waves were very rough, but beach was wonderful and swimming pools were great with view of surf from pools.",positive
Correct mais les prestations du personnel ne sont pas au niveau de l'hotel,neutral
"Personal,wie überall in SL sehr freundlich und hilfsbereit. Polster in Bar und Speisesaal schmuddelig. Handlauf bei Stühlen im Speisesaal klebrig und schwarz. Rezeption unflexibel. Meiner Meinung nach müsste das Management viel mehr tun",positive
フロントからの景色は写真で見ていた通りで着いた瞬間に感動しました。 ラッキーなことに宿泊した部屋は角部屋でバルコニーがとても広くて眺望よくて最高でした。,positive
スタッフもホテルもロケーションも最高です。,positive
日没ギリギリにチェックインしたので、ウェルカムドリンクを飲みながらサンセットを堪能できました。 ロビーの上のライブラリー前にサッカーのボードゲームがあり、子供達がプールより夢中になって楽しんでいました。,positive
リゾート自体は重厚でゆとりのある造りになっており、大きなプールや開放感溢れるダイニングエリアでは快適に過ごすことができました。またリゾートから続く広い砂浜とそこに沈む夕日の景色は特筆物です。ただ、ホテルを一歩出るとそこは雑多で空気の悪い喧騒地帯。陸側も海側もしつこい物売りと客引きだらけで多少のストレスを感じることは否めません。食事は悪くないですが、外で気軽に食べ歩きがてきないことを考えるとバリエーションが少なすぎる。。。大きな街からもかなり離れているので不便を感じるかも。価格に対して環境面やソフト面が見合ってない印象は否めませんでした。,neutral
バワ建築。エントランスからプール、海への眺望がすばらしい。あいにくスコールでプールと建物の間にビニールのスクリーンをたらしていたけれど・・・ビーチから建物の夜景もすごくきれいです,positive
호텔 연계 택시가 거북이 보호소까지 8000루피를 불러 픽미로 400루피에 택시를 불렀고 그 택시기사가 픽미기사를 쫒아냈습니다 호텔측에 항의했더니 그 기사를 특정해 해고하겠다며 이런 불미스러운 일이 생긴거에대한 진심어린 사과를 해주었습니다. 저희는 그렇게 까지 바라진 않고 두번다시 이런일이 생기지 않도록만 부탁했고 이러한 진심어린 대처 덕분에 호텔에 대한 이미지가 너무 행복했습니다 다음에 또 이지역을 방문한다면 여지없이 다시 이 호텔을 찾겠습니다,negative
酒店位置很好，有一片沙滩，设施略显陈旧，餐饮不错。,positive
كانت إقامة جيدة,positive
"the staff were extremely friendly. our children enjoyed the entertainment provided by the animators, the was a good variety of activities each day",positive
Mycket bra och vänlig service. Renligheten var inte i klass med nordiskt och tysk standard men bättre än normalt i Sri Lanka. Hotellet är slitet och i behov av grundlig renovering.,positive
"Had a lovely stay at this place, great access to the beach and superb food. The place lacks some facilities but makes up for it with the amazing pool, access to the beach, delicious food and courteous staff",positive
(+)Excellent location facing the beach with direct access. Two swimming pools make it less crowded. Staff very polite and helpful. We where lucky to spot the endemic (in Srilanka) purple faced langur in the premises. Good restaurants inside (-) Long walk from the road if you want to buy anything personal. Overall all star ratings,positive
"No bacon for bfast.repetition of food items on buffet.inedible cuts of meat on buffet,should have cooked in pressure cooker to tenderise the meat.we were told by the head chef only the good cuts are served at the a la carte restaurant not on the buffet.",negative
"Hotel location is great with a beautiful beech front and two large pools. Wonderfull clean rooms with plenty of space with amenties. Range of food in the buffet was tasty but not exceptional to a 5 star standard. It is very basic. Buffet area and dishes need lot of improvement. This includes range, garnish and artistical arrangement. Lack in service offering tea or coffee at the end of the meal, specially breakfast. We are very impressed of the friendlyness of the staff and helpfullness. Overall we had a great stay.",positive
"The spacious lobby faces the sea, and beyond the blue swimming pool, you can see the turbulent sea. The beach is long and beautiful, but not suitable for swimming. The rooms are spacious and elegantly decorated, the quality of tap water is poor, but bottled water is provided.",neutral
"Not at all a 5 star property by any stretch . Yes all basic amenities like pool, indoor game, bar etc are there but quality/cleanliness not thr. My son and wife also got food poisoning after eating brownie.",negative
"Our stay at the heritance ahungalla wos absolutely amazing the food & room were exexceptional .The staff very friendly ,i would highly recommended this hotel",positive
It was amazing experience with delicious food (calamari and pineapple were the top notch) and scenic views,positive
Really helpful and kind staff. Awesome room and service,positive
Awesome place,positive
"Had a great stay with commendable service, nice views, and wonderful atmosphere. Highly recommend this hotel for a relaxing visit.",positive
"very friendly staff, nice beach and good food..veg options hardly any though",positive
"We were booked for a single room for a day. On asking for a non smoking room,the manager upgraded us to a sea facing suite without any additional charges. It was a blessings for us.The beach of the hotel was very neat n well maintained. Live music in the evening at bar wad excellent. The staff ,in their traditional Sri Lankan uniform, were very attentive n helpful. The only issue was the availability of vegetarian food in the la carte restaurant We wished to have reservations for few days more at the this resort",positive
"One of the best hotels I've stayed at, on my trip. It has its own beach and large pool. The breakfast buffet was amazing. My room came with bathrobes and a beautiful balcony. Don't Hesitate to book this",positive
"Great hotel to spend a few days with the family. 2 good sized pools, good sized rooms with balconies facing the ocean/pool in most instances. We were full board and the variety and quality of food was excellent with a number of items prepared by the chefs in front of us so didn’t experience “buffet fatigue”. Staff went out of their way to be helpful and always carried a smile. There are some corridor sections of the hotel that could do with a bit of tlc (ie refreshed painting/ decorating touch ups etc) but all in all good value for the money you pay.",positive
"Friendly, very helpful staff, wide choice of food on buffet, lovely views, wide beach with soft silty sand, pool facilities great",positive
"All staff , facilities were exceptional. Probably one of the best hotels in the south coast.",positive
"Really indulge into this hotel, the staff are very friendly and attentive, except the Front Desk, disconnect to room guests, and pushy, lacking of empathy....quite odd.",neutral
Stayed there over a weekend. Excellent food and a beautiful location by the beach. Sea was too rough to swim in April however hotel well equipped with two pools.,positive
"Heritance hotels have always been one of favourite places. The staff is super friendly, the services are impeccable and the food is always so good. This is my fourth visit and it never fails to leave a smile on my face. Plus we got a free upgrade😊",positive
"The hotel is huge but there are some problem in management. I didn't set Morning call but my phone ring at 6am. Then at 8am, the cleaning team knock my door ask what time I plan to check out. It's really disturb my rest. They can ask when we check in or ring us the previous night! There should be a better way to deal with instead of annoy customer. _x000D_ Besides, I found stains on the cups and linen. They should check it more thoroughly as their room is expensive.",neutral
The iconic boat next to the pool was missing. Hope this magnificent decoration will be re-installed soon.,positive
"Had a problem similar to the one we had at the other Heritance property at Kandalama, Check-in took 45 minutes as they could not find the reservation inspite of providing the voucher. Heritance needs to get their act together on this issue",negative
"very nice hotel, nice place, staff very cute",positive
The hotel needs a good clean from top to bottom. Except for the pool and bar area it is all pretty grubby eg. the coffee shop chair arms and tabletops are black with dirt. The floor in the hotel room was gritty and some of the linen was gray with dirt or age. Even the most basic accommodation we stayed at in Sri Lanka were better maintained than this. They seem to be cutting costs all round including not enough staff. One good point is the quality of the breakfast buffet which was very good.,neutral
3 nights,neutral
"Everything was good, but they did not make up our room (we stayed two nights). Exceptionally beautiful hotel design and location.",neutral
Mediocre,negative
"We liked the stay, but sometimes as it was a low season, the hotel looked deserted:)",neutral
"very nice stay, amazing location, good to relax, very good staff, however little expensive as there are similar oiptions like cinamon bey beruwala with similar offerings.",positive
"After 6 busy and interesting days in Sri Lanka, we couldn't find more beautiful hotel than Heritance Ahungalla. The room have been cleaned twice a day. At the reception desk works very capable staff whome are always available. If you ever stay in this hotel please ask for mr Dinusha Kularathne. He made for us surprise in the room (flowers for wife and fruit basket). He makes a great effort to accomplish any request we had. In general this is the best hotel we ever stayed in, don't skip it if you ever come in Sri Lanka.",positive
"This hotel is the great. I stayed there with my parents and my boyfriend, And we almost screamed when we entered the hotel.Because hotel's lobby is very beautiful and we could see lobby, beautiful swimming pool ,sea at the same time. And staffs are very kind and friendly. Especially we appreciated one guy. He is a person in charge of room clean.His names is Thilina. He made us a smile and very kind and friendly. If somebody go there, please look for Thilina. He will make you a smile absolutely.",positive
"we chose this hotel for 5 days rest on our arrival in Sri Lanka. Whilst the hotel itself is lovely and our room was fantastic - clean, large, great balcony, lovely big clean bathroom - we were disappointed by the aggressive sales tactics of the staff every time we were in the main hotel area. We were constanly being asked if we wanted to try the spa, the fine dining restaurant or the outrageously expensive barbecue on the beach. We found the hotel bar and restaurant to be very over priced as well. This is definitely more of a family hotel so those without children may consider other options. There is a limited amount to do outside the hotel so may be better for people on an all inclusive or at least half board package. We did appreciate the hotel's facilities - two lovely clean pools, tennis courts, table tennis all available but the beach isn't really very usable due to the number of salesmen on it (not the hote's fault).",neutral
"When I walked in the lobby, it was very crowede and noisy, I saw the swimming pool from lobby, it was as crowded as disneyland, I cannot believe this is a 5 star hotel. And the swimming pool was somehow under maintance, can see the view as saw on the website. No bath tub in the bathroom. My flight was 12 noon, so I had an early breakfast at 7:20am, the breakfast time started at 7am, but it was chaos when I walked in the restaurant, staff in the restaurant were chatting, laughing, there's no Professional at all!! I was sooo disappointed at Heritance Ahungalla hotel!!!",negative
"Very helpful staff at the reception but check your booking two times as the person at the reservation counter is a pain to deal with,named Pradeep.",positive
"Never have we ever been into such as filthy, serivce-lacking beach resort. The whole premises is a run-down. The restaurants are not clean: sticky tables covered with juice stains; rotten salad, bread crumbs and fish bones seem to be part of the chairs and cushions. Serving beverages with cracked cups/glasses which also have dead insects gluing to them. The food is not well prepared neither fresh, including the seafood! Annoyed to be served with stale seafood in a beach resot! Hotel beach is decorated with trash, including broken bottles. Guests pay 5-star-resort tariff while 1-star serive is provided.",negative
We enjoy the place. Restaurant-Service and quality of food can be improved and is a bit high price Perfect beach stretch… Tours overpriced… In general very friendly staff and perfect site to relax,positive
Eine schöne poolanlage die Zimmer sind leider etwas klein und auch schon heruntergekommen,positive
バワ建築好きなので、ゆっくりしたいと3泊しました。部屋も素敵だったし、ご飯も美味しかったし、ビーチも目の前で、滞在自体は満足のいくものでした。 しかし、それを台無しにする残念なことがありました。 １つは、滞在が週末だったため、とにかくうるさかった事。隣の部屋では、若い男女が10人以上で、爆音の音楽かけたり、バルコニーで騒いだりしていて、注意してもらってもまた騒ぐという感じでした。プールも若者のグループや家族連れで騒がしいので、ゆっくり過ごしたい人は、週末は避けた方がいいと思います。 あと、支払を現地払いにしていたのですが、チェックイン時に請求された金額と、Agodaで予約した時の金額が異なったので、チェックアウト時に確認したのですが、係りの人は「間違いありません」の一点張りでした。急いでいたのもあり、あとはAgodaに間に入ってもらって、話をしてもらいますと伝えて、ホテルを出ようとしたら、他のスタッフが調べるので時間をくれと言って来ました。結局、ホテル側のミスであることが判明しましたが、予約管理も出来てないのかな？と、気分が悪いままホテルを後にしました。 現地払いのプランで予約する場合、支払時に確認を忘れないようにして下さい。,negative
perfect👍,positive
さすがバワ建築のホテルです。どこをとっても素敵で廊下を歩いていても興味深く楽しめます。 ホテルの中庭の木に猿も来たりして子供も喜んでいました。 食事は種類も多くおいしくいただきました。 プールサイドの係員の方も親切でした。,positive
