text,sentiment,cleaned_text,char_count,word_count,avg_word_length,sentiment_score,vader_compound,vader_pos,vader_neg,vader_neu,textblob_polarity,textblob_subjectivity
See review above and be sure to ask for a King size bed upon booking if you&#39;d actually like to share a double bed.,neutral,see review above and be sure to ask for a king size bed upon booking if youd actually like to share a double bed,118,24,3.9583333333333335,0,0.7184,0.25,0.0,0.75,0.125,0.2722222222222222
The Heritance Style,neutral,the heritance style,19,3,5.666666666666667,0,0.0,0.0,0.0,1.0,0.0,0.0
"We spent the new year in this hotel, it as entertaining and fun, we have been to the beach to see the fireworks! There was lots of choices of food this night, more than 10 international cuisine, and it was so delicious. The day after we spent the day at the sandy beach, 4 km of clean beaches with waves , u can t ask for more !!! Good times!!",positive,we spent the new year in this hotel it a entertaining and fun we have been to the beach to see the firework there wa lot of choice of food this night more than international cuisine and it wa so delicious the day after we spent the day at the sandy beach km of clean beach with wave u can t ask for more good time,343,70,3.914285714285714,2,0.9583,0.217,0.0,0.783,0.42314480027548207,0.4413223140495867
"Stayed at Heritance Ahangalla for 3 nights. The staff here had been awesome and very service oriented. Chef Thilakarathna in particular ensued that our special requests for veg food was met. Chef Dayanada was a great help and in the front office, Mr. Shreenath & Ms Ranisha went out of their way to accommodate our room requests. Other staff who were awesome are Anushka, prashant & Piumi, who made us feel very comfortable. Great place, great location, awesome food, good rooms, fantastic staff. But gym needs major improvement. Range of in-room toiletries could be improved.",neutral,stayed at heritance ahangalla for night the staff here had been awesome and very service oriented chef thilakarathna in particular ensued that our special request for veg food wa met chef dayanada wa a great help and in the front office mr shreenath m ranisha went out of their way to accommodate our room request other staff who were awesome are anushka prashant piumi who made u feel very comfortable great place great location awesome food good room fantastic staff but gym need major improvement range of inroom toiletry could be improved,576,95,5.073684210526316,5,0.9838,0.295,0.0,0.705,0.5486649659863946,0.7021258503401361
"What's the point of going on a vacation, if you want to feel like home.? Heritance made me and my wonderful wife forget all about home... The meals.. the smiles... the activities.. the room... THE MEMORIES are so much... wr didn't wanna leave :(",negative,whats the point of going on a vacation if you want to feel like home heritance made me and my wonderful wife forget all about home the meal the smile the activity the room the memory are so much wr didnt wan na leave,245,44,4.590909090909091,1,0.8821,0.267,0.036,0.697,0.15,0.7333333333333334
No more inclusive at checkout at 12pm,negative,no more inclusive at checkout at pm,37,7,4.428571428571429,0,-0.296,0.0,0.268,0.732,-0.25,0.5
Travelled here to part of our office annual trip and certainly lived upto the expectations. The rooms are well maintained and face the sea. Our room located in 4th floor(some staffers say 'sachchin's suite) that faced the sea and the wind blowing towards us. What I liked most was the pool which was amazing in the evenings. It faced the sea and gives a stunning sight towards sunset.,positive,travelled here to part of our office annual trip and certainly lived upto the expectation the room are well maintained and face the sea our room located in th floorsome staffer say sachchins suite that faced the sea and the wind blowing towards u what i liked most wa the pool which wa amazing in the evening it faced the sea and give a stunning sight towards sunset,384,68,4.661764705882353,1,0.9136,0.179,0.0,0.821,0.48285714285714293,0.7542857142857142
the property is in need of a refresh and a good deep clean.,neutral,the property is in need of a refresh and a good deep clean,59,13,3.6153846153846154,2,0.6808,0.337,0.0,0.663,0.35555555555555557,0.5666666666666668
"The hotel lobby sets the scene for the hotel itself – a lobby spreading out into the infinity pool, that leads into the beach and sea. The staff provide a humbling and warm welcome, showcasing their hospitable nature from the moment you step inside. The pool is idyllic and the food showcases the talents of the award-winning kitchen. We were lucky to meet Celebrity Chef and 15 time Gold Olympic Medallist Dimuthu Kumarasinghe, and all I can say is that I am surprised he has not appeared on all our TV screens! A true culinary talent, and the most humble person, he has led an equally talent set of kitchen employees to create some truly wonderful culinary experiences. Thank you to Heshan and Kevin for giving us the best kitchen tour and pastry session, and Dinushan for providing a stellar hotel tour! All in all, this hotel is a must if you are visiting Ahungalla.",positive,the hotel lobby set the scene for the hotel itself a lobby spreading out into the infinity pool that lead into the beach and sea the staff provide a humbling and warm welcome showcasing their hospitable nature from the moment you step inside the pool is idyllic and the food showcase the talent of the awardwinning kitchen we were lucky to meet celebrity chef and time gold olympic medallist dimuthu kumarasinghe and all i can say is that i am surprised he ha not appeared on all our tv screen a true culinary talent and the most humble person he ha led an equally talent set of kitchen employee to create some truly wonderful culinary experience thank you to heshan and kevin for giving u the best kitchen tour and pastry session and dinushan for providing a stellar hotel tour all in all this hotel is a must if you are visiting ahungalla,870,155,4.619354838709677,1,0.9887,0.23,0.0,0.77,0.3708333333333333,0.5064102564102564
"Staff was very friendly,But my kids didn’t like the Chinese buffet,Food to be improved.",neutral,staff wa very friendlybut my kid didnt like the chinese buffetfood to be improved,87,14,5.285714285714286,1,0.6808,0.318,0.0,0.682,0.1,0.15
"We arrived at the hotel after almost 20 hours by plane and found out that espresso coffee is a special coffee and will have to pay, although it has the same taste and in no case was an espresso. I mention that we had an all-inclusive supplement and the coffee was included First Breakfast: i wanted an omelette I asked the chef to prepare ""well done"", but he became visibly irritated because I have explained in more detail. He said something in his language, evading after I asked him what he said. I inspected the room where I was staying and found that under the bed were traces of visible dust probably old before those who have been staying here previously, the bathroom is not the bathroom of a 5stars hotel. The towels are to used and have old stains. On the ceiling we discovered traces of mosquito / dead flies on the ceiling of the bathroom The beach behind the hotel filled with annoying vendors that are allowed by the security agents even inside of the hotel property limit. We found the waiters mostly unprepared, lazy and disinterested. At the pool if you order a drink lasts an eternity. In fact, if you order anything in this hotel last an eternity. The food at dinner buffet is an ordinary cantine and you can easily see that they recycle the food from evening to another or is the same food. The concept of all inclusive is a joke, because there are only a few types of local drinks and those bad. Beach towels are to used and have old stains. We chose the restaurant ""fine dining"", but the disappointment continued. We first drink comes after 15 minutes, and the food was brought after an hour of waiting and although you must have 15 / discount due prepaid package of all inclusive, we were charged 100 / requires that the next day to ask for explanations, explanations that reduced bill. However, the food is typical of a normal restaurant. Not bad, but nothing special. I have to mention that in the fine dining restaurant were only 2 tables with people. It was empty! The new years evening was ok, but we wanted to order champagne and they told us they are out of stock. We wanted Moet, they gave us Mumm. How can you not have stocks of champagne for New Years Eve? The food was very good. If this have been the food for all the holiday i could have forgot all the other things At 14.30 in the nect day the room was not cleaned in the context in which We left at 9 am the room. I ordered a soft drink included in all-inclusive package, it was added to the bill and replaced at the my request. Conclusion: if you're not careful pay twice. Wishing to relax at the beach we waited 30 minutes for the staff to find sun beds towels. Another breakfast: I asked two omelets ( for me and my husband) everything OK, I asked him and the third omelets for my son and the cook was getting nervous. The adventure continues... For sure the hotel management will have a respond to this post, but it will not make any difference , because my new years eve holiday was ruined, so I recommend you avoid this hotel that can be classified as no more than one 4-star hotel!",negative,we arrived at the hotel after almost hour by plane and found out that espresso coffee is a special coffee and will have to pay although it ha the same taste and in no case wa an espresso i mention that we had an allinclusive supplement and the coffee wa included first breakfast i wanted an omelette i asked the chef to prepare well done but he became visibly irritated because i have explained in more detail he said something in his language evading after i asked him what he said i inspected the room where i wa staying and found that under the bed were trace of visible dust probably old before those who have been staying here previously the bathroom is not the bathroom of a star hotel the towel are to used and have old stain on the ceiling we discovered trace of mosquito dead fly on the ceiling of the bathroom the beach behind the hotel filled with annoying vendor that are allowed by the security agent even inside of the hotel property limit we found the waiter mostly unprepared lazy and disinterested at the pool if you order a drink last an eternity in fact if you order anything in this hotel last an eternity the food at dinner buffet is an ordinary cantine and you can easily see that they recycle the food from evening to another or is the same food the concept of all inclusive is a joke because there are only a few type of local drink and those bad beach towel are to used and have old stain we chose the restaurant fine dining but the disappointment continued we first drink come after minute and the food wa brought after an hour of waiting and although you must have discount due prepaid package of all inclusive we were charged requires that the next day to ask for explanation explanation that reduced bill however the food is typical of a normal restaurant not bad but nothing special i have to mention that in the fine dining restaurant were only table with people it wa empty the new year evening wa ok but we wanted to order champagne and they told u they are out of stock we wanted moet they gave u mumm how can you not have stock of champagne for new year eve the food wa very good if this have been the food for all the holiday i could have forgot all the other thing at in the nect day the room wa not cleaned in the context in which we left at am the room i ordered a soft drink included in allinclusive package it wa added to the bill and replaced at the my request conclusion if youre not careful pay twice wishing to relax at the beach we waited minute for the staff to find sun bed towel another breakfast i asked two omelet for me and my husband everything ok i asked him and the third omelet for my son and the cook wa getting nervous the adventure continues for sure the hotel management will have a respond to this post but it will not make any difference because my new year eve holiday wa ruined so i recommend you avoid this hotel that can be classified a no more than one star hotel,3076,573,4.369982547993019,0,0.5035,0.086,0.078,0.836,0.0687065948236161,0.4732350864265758
"I was in Sri Lanka for the second time. Prior to this trip would never have believed that Sri Lanka has such a luxurious hotel with a very kind and responsive staff. The ocean is not deep at the hotel, my 9 year old daughter a lot of swimming in the ocean. The beach boys are friendly, trying to help. If you have forgotten something - be sure to bring in, do not steal. Very good food, I recommend HB",positive,i wa in sri lanka for the second time prior to this trip would never have believed that sri lanka ha such a luxurious hotel with a very kind and responsive staff the ocean is not deep at the hotel my year old daughter a lot of swimming in the ocean the beach boy are friendly trying to help if you have forgotten something be sure to bring in do not steal very good food i recommend hb,401,80,4.025,1,0.9356,0.208,0.047,0.745,0.2961111111111111,0.474320987654321
"We were in rooms 209 and 210. Pros: - well laid out and planned hotel - swimming pool area is beautiful - proximity to beach lovely Cons: - hardly any lights in room-very dim - run down - wifi not too great - very sparse room-not even a coffee table! - kettle had a calcified or corroded heating element so we did not want to take a chance with boiling water for our morning coffee. While it was well camouflaged, there was no plug point attached to the kettle so it would had to be physically moved near a plug point to operate-bad design. - bathroom has windows with only dusty, uneven Venetian blinds for so-called privacy - floor was dirty with dirt stuck on it - room was smelling musty when we came in. Couldn't leave balcony door open for too long to air, due to mosquitoes. - no room numbers written on key card envelopes-had to go out the door to check! - no in-hotel numbers written near the phone - cobwebs on balcony panels-rubber coming off - hotel information papers in the binder were not in order-pages missing. - no in-room menu in room. - checking in took time and we were shown a seating area that was impractical to sit in as sofas were not placed opposite of each other but next to each other. We stood around for about 10-15 mins and no one even asked us to take a seat at another more practical area which was close by. - the man showed us everything in the room but to omitted to show us the balcony! We could not see it as it had opaque sliding type panels that covered the sliding windows - the towels and sheets did not smell fresh - hardly any vegetarian options in the menu to warrant the money so the only options were a la carte in the coffee shop and that were going to take 45 mins to order. That hardly seems fair for vegetarians, does it? Since there was no other option, we ordered 3 western choices from this menu. Unfortunately, we were disappointed with the quality and taste of all the options. The veg lasagne had pasta that was chewy, the pasta primavera had peas that were raw and the potato and bean 'pie' was in fact not a pie at all-just potatoes, onions and beans topped with cheese! - The place needs a lot of maintenance.which it wasn't getting - staff need to improve their English, esp since there are so many non srilankans visiting-language was definitely a barrier esp when it came to ordering food. - staff need to be better trained to know what the hotel offers-boy who showed us to rooms said we could get a la carte in the dining hall. Instead there was only a buffet and no a la carte. - in our room, 210, we had no locking system in the door inside the room-no latch or knob, so ostensibly, the master key could be used to open the door at any time from the outside, even while we are inside the room - no tissues in tissue box in room 209-poor housekeeping - took 20 mins and reminding a few times to get our coffee at breakfast - took a long time for the dirty plates piled up from the buffet breakfast to be cleared. Had to point it out. Sadly, the cons far outweighed the pros. I would not stay here again unless it undergoes a major restructuring.",negative,we were in room and pro well laid out and planned hotel swimming pool area is beautiful proximity to beach lovely con hardly any light in roomvery dim run down wifi not too great very sparse roomnot even a coffee table kettle had a calcified or corroded heating element so we did not want to take a chance with boiling water for our morning coffee while it wa well camouflaged there wa no plug point attached to the kettle so it would had to be physically moved near a plug point to operatebad design bathroom ha window with only dusty uneven venetian blind for socalled privacy floor wa dirty with dirt stuck on it room wa smelling musty when we came in couldnt leave balcony door open for too long to air due to mosquito no room number written on key card envelopeshad to go out the door to check no inhotel number written near the phone cobweb on balcony panelsrubber coming off hotel information paper in the binder were not in orderpages missing no inroom menu in room checking in took time and we were shown a seating area that wa impractical to sit in a sofa were not placed opposite of each other but next to each other we stood around for about min and no one even asked u to take a seat at another more practical area which wa close by the man showed u everything in the room but to omitted to show u the balcony we could not see it a it had opaque sliding type panel that covered the sliding window the towel and sheet did not smell fresh hardly any vegetarian option in the menu to warrant the money so the only option were a la carte in the coffee shop and that were going to take min to order that hardly seems fair for vegetarian doe it since there wa no other option we ordered western choice from this menu unfortunately we were disappointed with the quality and taste of all the option the veg lasagne had pasta that wa chewy the pasta primavera had pea that were raw and the potato and bean pie wa in fact not a pie at alljust potato onion and bean topped with cheese the place need a lot of maintenancewhich it wasnt getting staff need to improve their english esp since there are so many non srilankans visitinglanguage wa definitely a barrier esp when it came to ordering food staff need to be better trained to know what the hotel offersboy who showed u to room said we could get a la carte in the dining hall instead there wa only a buffet and no a la carte in our room we had no locking system in the door inside the roomno latch or knob so ostensibly the master key could be used to open the door at any time from the outside even while we are inside the room no tissue in tissue box in room poor housekeeping took min and reminding a few time to get our coffee at breakfast took a long time for the dirty plate piled up from the buffet breakfast to be cleared had to point it out sadly the con far outweighed the pro i would not stay here again unless it undergoes a major restructuring,3112,593,4.249578414839798,0,-0.9591,0.043,0.076,0.881,-0.004042022792022787,0.5243392602767604
