text,action,category,cleaned_text,char_count,word_count,sentiment_score
"Honestly, the steak was tough and flavorless.",Revise Menu Quality,Food,honestly the steak wa tough and flavorless,45,7,0
Action needed:  Filtration system was making a loud noise.,Pool Maintenance,Recreation,action needed filtration system wa making a loud noise,58,9,0
Action needed: Filtration system was making a loud noise.,Pool Maintenance,Recreation,action needed filtration system wa making a loud noise,58,9,0
action needed: filtration system was making a loud noise.,Pool Maintenance,Recreation,action needed filtration system wa making a loud noise,58,9,0
Action needed: Filtration system live making amp loud noise.,Pool Maintenance,Recreation,action needed filtration system live making amp loud noise,58,9,0
action at law needed: Filtration organisation was making a loud noise.,Pool Maintenance,Recreation,action at law needed filtration organisation wa making a loud noise,58,9,0
Action needed: Filtration system was make A loud noise.,Pool Maintenance,Recreation,action needed filtration system wa make a loud noise,58,9,0
Action needed: filtration system was making a gimcrack noise.,Pool Maintenance,Recreation,action needed filtration system wa making a gimcrack noise,58,9,0
Action needed: filtration system Evergreen State making a loud noise.,Pool Maintenance,Recreation,action needed filtration system evergreen state making a loud noise,58,9,0
Action needed: Filtration system was produce a loud noise.,Pool Maintenance,Recreation,action needed filtration system wa produce a loud noise,58,9,0
Action needed: Filtration system embody take a shit a loud noise.,Pool Maintenance,Recreation,action needed filtration system embody take a shit a loud noise,58,9,0
Action needed: Filtration system was making a loudly noise.,Pool Maintenance,Recreation,action needed filtration system wa making a loudly noise,58,9,0
"Action needed: Need better lighting, the room is too dim.",Upgrade Room Amenities,Rooms,action needed need better lighting the room is too dim,57,10,0
"action needed: Need better lighting, the room is to a fault dim.",Upgrade Room Amenities,Rooms,action needed need better lighting the room is to a fault dim,57,10,0
"Action needed: Need skillful lighting, the board be too dim.",Upgrade Room Amenities,Rooms,action needed need skillful lighting the board be too dim,57,10,0
"Action needed: pauperization better lighting, the room is too dim.",Upgrade Room Amenities,Rooms,action needed pauperization better lighting the room is too dim,57,10,0
"Action needed: Need better lighting, the elbow room is as well dim.",Upgrade Room Amenities,Rooms,action needed need better lighting the elbow room is a well dim,57,10,0
"Action needed: Need good lighting, the room is too dim.",Upgrade Room Amenities,Rooms,action needed need good lighting the room is too dim,57,10,0
"Action needed: Need better lighting, the room follow too dim.",Upgrade Room Amenities,Rooms,action needed need better lighting the room follow too dim,57,10,0
"activity needed: Need better lighting, the room is excessively dim.",Upgrade Room Amenities,Rooms,activity needed need better lighting the room is excessively dim,57,10,0
"natural process needed: Need serious lighting, the room is too dim.",Upgrade Room Amenities,Rooms,natural process needed need serious lighting the room is too dim,57,10,0
"Action needed: indigence better lighting, the board is too dim.",Upgrade Room Amenities,Rooms,action needed indigence better lighting the board is too dim,57,10,0
"Action needed: Need good lighting, the way is too dim.",Upgrade Room Amenities,Rooms,action needed need good lighting the way is too dim,57,10,0
it took 45 minutes just to check in.,Review Check-in Process,Services,it took minute just to check in,36,8,0
it take forty-five minutes just to check in.,Review Check-in Process,Services,it take fortyfive minute just to check in,36,8,0
it demand 45 minutes just to check in.,Review Check-in Process,Services,it demand minute just to check in,36,8,0
it took forty-five minutes just to check in.,Review Check-in Process,Services,it took fortyfive minute just to check in,36,8,0
it took 45 minutes just to check in.,Review Check-in Process,Services,it took minute just to check in,36,8,0
it took 45 second just to check in.,Review Check-in Process,Services,it took second just to check in,36,8,0
IT take on 45 minutes just to check in.,Review Check-in Process,Services,it take on minute just to check in,36,8,0
it took 45 minutes just to baulk in.,Review Check-in Process,Services,it took minute just to baulk in,36,8,0
IT took 45 minute just to check in.,Review Check-in Process,Services,it took minute just to check in,36,8,0
it took 45 instant merely to check in.,Review Check-in Process,Services,it took instant merely to check in,36,8,0
IT took forty-five minutes just to check in.,Review Check-in Process,Services,it took fortyfive minute just to check in,36,8,0
Review: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food,review they lost our reservation even though we booked week ago,66,11,0
Review: They lost our reservation even though we booked weeks ago.,Compensate Guest,Food,review they lost our reservation even though we booked week ago,66,11,0
Review: They mislay our reservation even though we hold weeks ago.,Compensate Guest,Food,review they mislay our reservation even though we hold week ago,66,11,0
Review: They lost our arriere pensee even though we book weeks ago.,Compensate Guest,Food,review they lost our arriere pensee even though we book week ago,66,11,0
Review: They mazed our reservation even though we booked workweek ago.,Compensate Guest,Food,review they mazed our reservation even though we booked workweek ago,66,11,0
Review: They lost our reservation even though we booked week ago.,Compensate Guest,Food,review they lost our reservation even though we booked week ago,66,11,0
Review: They lost our mental reservation even though we booked weeks ago.,Compensate Guest,Food,review they lost our mental reservation even though we booked week ago,66,11,0
Review: They preoccupied our reservation level though we booked weeks ago.,Compensate Guest,Food,review they preoccupied our reservation level though we booked week ago,66,11,0
Review: They lost our arriere pensee even though we book week ago.,Compensate Guest,Food,review they lost our arriere pensee even though we book week ago,66,11,0
Review: They lost our reservation eve though we engaged weeks ago.,Compensate Guest,Food,review they lost our reservation eve though we engaged week ago,66,11,0
Review: They lost our reservation level though we booked workweek ago.,Compensate Guest,Food,review they lost our reservation level though we booked workweek ago,66,11,0
Review: Room wasn't ready at 4 PM check-in time.,Review Check-in Process,Services,review room wasnt ready at pm checkin time,48,9,0
Review: Room wasn't ready at quaternary PM check-in time.,Review Check-in Process,Services,review room wasnt ready at quaternary pm checkin time,48,9,0
Review: Room wasn't ready atomic number 85 4 PM check-in time.,Review Check-in Process,Services,review room wasnt ready atomic number pm checkin time,48,9,0
Review: room wasn't set at 4 PM check-in time.,Review Check-in Process,Services,review room wasnt set at pm checkin time,48,9,0
Review: way wasn't ready atomic number 85 4 PM check-in time.,Review Check-in Process,Services,review way wasnt ready atomic number pm checkin time,48,9,0
Review: Room wasn't gear up at 4 PM check-in time.,Review Check-in Process,Services,review room wasnt gear up at pm checkin time,48,9,0
Review: room wasn't ready at quaternion PM check-in time.,Review Check-in Process,Services,review room wasnt ready at quaternion pm checkin time,48,9,0
Review: Room wasn't ready at 4 post-mortem examination check-in time.,Review Check-in Process,Services,review room wasnt ready at postmortem examination checkin time,48,9,0
Review: Room wasn't ready at 4 premier check-in time.,Review Check-in Process,Services,review room wasnt ready at premier checkin time,48,9,0
Review: Room wasn't ready At four PM check-in time.,Review Check-in Process,Services,review room wasnt ready at four pm checkin time,48,9,0
Review: Room wasn't set atomic number 85 4 PM check-in time.,Review Check-in Process,Services,review room wasnt set atomic number pm checkin time,48,9,0
Review: Called reception but no one answered the phone.,Staff Communication Training,Services,review called reception but no one answered the phone,55,9,0
Review: Called reception but no one answered the phone.,Staff Communication Training,Services,review called reception but no one answered the phone,55,9,0
Review: Called receipt but no one answered the phone.,Staff Communication Training,Services,review called receipt but no one answered the phone,55,9,0
Review: anticipate reception but no one answered the phone.,Staff Communication Training,Services,review anticipate reception but no one answered the phone,55,9,0
Review: phone reception merely no one answered the phone.,Staff Communication Training,Services,review phone reception merely no one answered the phone,55,9,0
Review: Called reception but no one answered the phone.,Staff Communication Training,Services,review called reception but no one answered the phone,55,9,0
Review: Called reception merely no one answered the phone.,Staff Communication Training,Services,review called reception merely no one answered the phone,55,9,0
Review: Called reception merely no one answered the phone.,Staff Communication Training,Services,review called reception merely no one answered the phone,55,9,0
Review: Called receipt but no I answered the phone.,Staff Communication Training,Services,review called receipt but no i answered the phone,55,9,0
Review: call reception but atomic number 102 one answered the phone.,Staff Communication Training,Services,review call reception but atomic number one answered the phone,55,9,0
Review: Called reception but no ane answered the phone.,Staff Communication Training,Services,review called reception but no ane answered the phone,55,9,0
Food was cold when it arrived at the table.,Revise Menu Quality,Food,food wa cold when it arrived at the table,43,9,-1
Food was cold when it arrive at the table.,Revise Menu Quality,Food,food wa cold when it arrive at the table,43,9,-1
Food be cold when it arrived at the table.,Revise Menu Quality,Food,food be cold when it arrived at the table,43,9,-1
Food live cold when it arrived at the table.,Revise Menu Quality,Food,food live cold when it arrived at the table,43,9,-1
Food was cold when IT arrived At the table.,Revise Menu Quality,Food,food wa cold when it arrived at the table,43,9,-1
Food was cold when it arrived At the table.,Revise Menu Quality,Food,food wa cold when it arrived at the table,43,9,-1
Food was cold when it arrived at the table.,Revise Menu Quality,Food,food wa cold when it arrived at the table,43,9,-1
Food was cold when it arrived At the table.,Revise Menu Quality,Food,food wa cold when it arrived at the table,43,9,-1
Food was cold when information technology arrived astatine the table.,Revise Menu Quality,Food,food wa cold when information technology arrived astatine the table,43,9,-1
solid food was cold when it get in at the table.,Revise Menu Quality,Food,solid food wa cold when it get in at the table,43,9,-1
Food was cold when it arrived atomic number 85 the table.,Revise Menu Quality,Food,food wa cold when it arrived atomic number the table,43,9,-1
hygiene standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food,hygiene standard in the restaurant seem very low,50,8,0
hygienics standards in the restaurant seem very low.,Inspect Kitchen Hygiene,Food,hygienics standard in the restaurant seem very low,50,8,0
hygienics standards in the eatery seem very low.,Inspect Kitchen Hygiene,Food,hygienics standard in the eatery seem very low,50,8,0
hygiene standards in the restaurant seem really low.,Inspect Kitchen Hygiene,Food,hygiene standard in the restaurant seem really low,50,8,0
hygiene standards inch the restaurant seem rattling low.,Inspect Kitchen Hygiene,Food,hygiene standard inch the restaurant seem rattling low,50,8,0
hygienics standards inward the restaurant seem very low.,Inspect Kitchen Hygiene,Food,hygienics standard inward the restaurant seem very low,50,8,0
hygienics standards in the eating house seem very low.,Inspect Kitchen Hygiene,Food,hygienics standard in the eating house seem very low,50,8,0
hygiene standards inwards the eating house seem very low.,Inspect Kitchen Hygiene,Food,hygiene standard inwards the eating house seem very low,50,8,0
hygiene standards in the restaurant seem real low.,Inspect Kitchen Hygiene,Food,hygiene standard in the restaurant seem real low,50,8,0
hygienics standards in the restaurant seem identical low.,Inspect Kitchen Hygiene,Food,hygienics standard in the restaurant seem identical low,50,8,0
hygiene standards in the restaurant seem identical low.,Inspect Kitchen Hygiene,Food,hygiene standard in the restaurant seem identical low,50,8,0
Action needed: Air conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,action needed air conditioner is loud and barely cool the room,65,11,0
accomplish needed: ventilate conditioner is loud and barely cools the room.,Upgrade Room Amenities,Rooms,accomplish needed ventilate conditioner is loud and barely cool the room,65,11,0
Action needed: Air conditioner is loud and barely cool down the room.,Upgrade Room Amenities,Rooms,action needed air conditioner is loud and barely cool down the room,65,11,0
Action needed: Air conditioner is loud and scarce cool down the room.,Upgrade Room Amenities,Rooms,action needed air conditioner is loud and scarce cool down the room,65,11,0
Action needed: Air conditioner is loud and scantily cools the room.,Upgrade Room Amenities,Rooms,action needed air conditioner is loud and scantily cool the room,65,11,0
carry out needed: Air conditioner is flash and barely cools the room.,Upgrade Room Amenities,Rooms,carry out needed air conditioner is flash and barely cool the room,65,11,0
Action needed: Air conditioner is meretricious and barely aplomb the room.,Upgrade Room Amenities,Rooms,action needed air conditioner is meretricious and barely aplomb the room,65,11,0
Action needed: Air conditioner is tatty and barely cools the room.,Upgrade Room Amenities,Rooms,action needed air conditioner is tatty and barely cool the room,65,11,0
fulfil needed: Air conditioner is loud and barely cool down the room.,Upgrade Room Amenities,Rooms,fulfil needed air conditioner is loud and barely cool down the room,65,11,0
Action needed: advertize conditioner is loud and scarce cools the room.,Upgrade Room Amenities,Rooms,action needed advertize conditioner is loud and scarce cool the room,65,11,0
Action needed: Air conditioner be meretricious and barely cools the room.,Upgrade Room Amenities,Rooms,action needed air conditioner be meretricious and barely cool the room,65,11,0
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation,review treadmill were all out of order,41,7,0
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation,review treadmill were all out of order,41,7,0
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation,review treadmill were all out of order,41,7,0
Review: Treadmills were all verboten of order.,Update Gym Equipment,Recreation,review treadmill were all verboten of order,41,7,0
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation,review treadmill were all out of order,41,7,0
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation,review treadmill were all out of order,41,7,0
Review: Treadmills were all out of order.,Update Gym Equipment,Recreation,review treadmill were all out of order,41,7,0
Review: Treadmills glucinium all out of order.,Update Gym Equipment,Recreation,review treadmill glucinium all out of order,41,7,0
Review: Treadmills were all knocked out of order.,Update Gym Equipment,Recreation,review treadmill were all knocked out of order,41,7,0
Review: Treadmills were all proscribed of order.,Update Gym Equipment,Recreation,review treadmill were all proscribed of order,41,7,0
Review: treadmill were all out of order.,Update Gym Equipment,Recreation,review treadmill were all out of order,41,7,0
Feedback: Called reception but no one answered the phone.,Staff Communication Training,Services,feedback called reception but no one answered the phone,57,9,0
Feedback: Called reception but no one answered the phone.,Staff Communication Training,Services,feedback called reception but no one answered the phone,57,9,0
